"Excel Table 3: Differentially methylatied positions (p < 0.05) within the Bangladesh 450K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category,,
cg03579872,0.52,0.000,0.97,1.00,chr1,53393473,SCP2;SCP2,Body;Body,,
cg14016875,0.28,0.000,0.97,1.00,chr17,14206981,HS3ST3B1;MGC12916,Body;TSS200,,
cg17148580,0.20,0.000,0.97,1.00,chr8,109498750,TTC35,Body,,
cg25738714,0.48,0.000,0.97,1.00,chr1,50893658,,,,
cg05553591,0.32,0.000,0.97,1.00,chr5,76114933,F2RL1;F2RL1,1stExon;5'UTR,,
cg17470061,0.33,0.000,0.97,1.00,chr1,33336618,FNDC5,TSS1500,,
cg27125605,0.88,0.000,0.97,1.00,chr17,44928995,WNT9B;WNT9B,5'UTR;1stExon,,
cg17816908,0.31,0.000,0.97,1.00,chr8,41167109,SFRP1,TSS200,,
cg21707187,0.56,0.000,0.97,1.00,chr12,54345862,,,,
cg11083280,0.24,0.000,0.97,1.00,chr6,13925509,RNF182;RNF182;RNF182;RNF182;RNF182,5'UTR;5'UTR;5'UTR;1stExon;5'UTR,,
cg16693212,0.20,0.000,0.97,1.00,chr11,108093249,ATM;NPAT,TSS1500;1stExon,,
cg23506143,0.27,0.000,0.97,1.00,chr5,55761274,,,,
cg09551613,-0.30,0.000,0.97,1.00,chr5,96478514,LIX1;LIX1,1stExon;5'UTR,,
cg26834043,-0.37,0.000,0.97,1.00,chr5,107874409,,,,
cg15144793,0.39,0.000,0.97,1.00,chr2,235861303,SH3BP4,5'UTR,,
cg22031614,0.25,0.000,0.97,1.00,chr15,76628424,ISL2,TSS1500,,
cg19068071,0.35,0.000,0.97,1.00,chr6,114176597,,,,
cg09962925,0.38,0.000,0.97,1.00,chr16,86228639,,,,
cg10517919,-0.26,0.000,0.97,1.00,chr1,226707583,,,,
cg10902909,-0.25,0.000,0.97,1.00,chr12,124371801,DNAH10,Body,,
cg11973682,0.52,0.000,0.97,1.00,chr4,5890633,CRMP1;CRMP1,Body;TSS1500,,
cg07870982,0.81,0.000,0.97,1.00,chr16,79633040,MAF;MAF,1stExon;1stExon,,
cg08710564,-0.26,0.000,0.97,1.00,chr11,8829438,ST5;ST5;ST5,5'UTR;5'UTR;5'UTR,,
cg02903104,-0.45,0.000,0.97,1.00,chr8,1507517,DLGAP2,Body,,
cg13643376,0.36,0.000,0.97,1.00,chr11,110583543,ARHGAP20,TSS200,,
cg08350776,0.34,0.000,0.97,1.00,chr5,54516538,,,,
cg19922442,0.32,0.000,0.97,1.00,chr1,8086588,ERRFI1,TSS200,,
cg22361493,-0.31,0.000,0.97,1.00,chr1,150336806,RPRD2,TSS200,,
cg17355719,-0.29,0.000,0.97,1.00,chr17,37893764,GRB7;GRB7,TSS1500;TSS1500,,
cg21141856,-0.20,0.000,0.97,1.00,chr1,16565106,C1orf89,TSS1500,,
cg19756821,0.28,0.000,0.97,1.00,chr1,54940702,,,,
cg00721086,0.31,0.000,0.97,1.00,chr15,32322288,CHRNA7,TSS1500,,
cg02048505,0.56,0.000,0.97,1.00,chr7,48075568,C7orf57,5'UTR,,
cg02278912,-0.61,0.000,0.97,1.00,chr14,45267997,,,,
cg18779500,-0.29,0.000,0.97,1.00,chr2,168441181,,,,
cg02886578,-0.20,0.000,0.97,1.00,chr1,153176083,LELP1,5'UTR,,
cg13607082,-0.29,0.000,0.97,1.00,chr12,122652224,LRRC43,TSS200,,
cg13254221,0.23,0.000,0.97,1.00,chr8,644861,ERICH1,Body,,
cg07071978,0.33,0.000,0.97,1.00,chr10,13933652,FRMD4A,Body,,
cg01768082,-0.29,0.000,0.97,1.00,chr1,946875,,,,
cg14630905,1.00,0.000,0.97,1.00,chr17,44928992,WNT9B;WNT9B,5'UTR;1stExon,,
cg16430854,0.42,0.000,0.97,1.00,chr17,71640181,SDK2,1stExon,,
cg25335435,0.22,0.000,0.97,1.00,chr11,22399705,SLC17A6,3'UTR,,
cg03832440,0.41,0.000,0.97,1.00,chr17,14207241,HS3ST3B1;MGC12916,Body;Body,,
cg01074001,0.30,0.000,0.97,1.00,chr16,16047381,ABCC1;ABCC1;ABCC1;ABCC1;ABCC1,Body;Body;Body;Body;Body,,
cg10276227,0.56,0.000,0.97,1.00,chr19,33685817,LRP3,Body,,
cg07491676,-0.26,0.000,0.97,1.00,chr15,76400783,C15orf27,5'UTR,,
cg26299756,0.23,0.001,0.97,1.00,chr6,85478807,,,,
cg15471946,-0.35,0.001,0.97,1.00,chr21,40686621,BRWD1;BRWD1;BRWD1,TSS1500;TSS1500;TSS1500,,
cg13397939,-0.29,0.001,0.97,1.00,chr9,91273538,,,,
cg23833461,0.58,0.001,0.97,1.00,chr17,9929528,GAS7;GAS7;GAS7;GAS7,1stExon;Body;Body;5'UTR,,
cg19160053,-0.17,0.001,0.97,1.00,chr15,74702956,SEMA7A;SEMA7A;SEMA7A,3'UTR;3'UTR;3'UTR,,
cg15676084,0.27,0.001,0.97,1.00,chr1,225841605,ENAH;ENAH,TSS1500;TSS1500,,
cg05504117,-0.37,0.001,0.97,1.00,chr17,71898904,,,,
cg24854175,-0.29,0.001,0.97,1.00,chr5,138126560,CTNNA1,Body,,
cg16000018,-0.22,0.001,0.97,1.00,chr11,10606031,MRVI1;MRVI1;MRVI1;MRVI1,Body;Body;Body;Body,,
cg11825621,0.71,0.001,0.97,1.00,chr10,28034792,MKX,TSS200,,
cg23706422,0.33,0.001,0.97,1.00,chr10,89420014,PAPSS2;PAPSS2,Body;Body,,
cg15206981,-0.23,0.001,0.97,1.00,chr4,124323013,SPRY1;SPRY1,Body;Body,,
cg20241256,0.33,0.001,0.97,1.00,chr2,207139131,ZDBF2,TSS1500,,
cg14673256,0.84,0.001,0.97,1.00,chr11,64059057,KCNK4,5'UTR,,
cg07009823,0.37,0.001,0.97,1.00,chr6,39692744,KIF6,Body,,
cg05802129,-0.25,0.001,0.97,1.00,chr4,122689817,,,,
cg12640049,-0.27,0.001,0.97,1.00,chr1,18503103,IGSF21,Body,,
cg06758605,0.53,0.001,0.97,1.00,chr5,5303357,ADAMTS16,Body,,
cg06895103,0.18,0.001,0.97,1.00,chr6,30160580,TRIM26,Body,,
cg08994763,0.27,0.001,0.97,1.00,chr3,194822510,C3orf21,Body,,
cg04467334,-0.43,0.001,0.97,1.00,chr11,6291927,CCKBR,Body,,
cg17400476,0.41,0.001,0.97,1.00,chr7,27231491,,,,
cg00712390,0.60,0.001,0.97,1.00,chr17,79373624,BAHCC1,1stExon,,
cg24176383,0.24,0.001,0.97,1.00,chr19,8841059,OR2Z1,TSS1500,,
cg16068263,0.37,0.001,0.97,1.00,chr13,36729231,,,,
cg11832210,0.74,0.001,0.97,1.00,chr10,91295346,SLC16A12,TSS200,,
cg05386493,0.42,0.001,0.97,1.00,chr3,138665654,FOXL2;C3orf72;FOXL2,1stExon;TSS1500;5'UTR,,
cg17517865,0.48,0.001,0.97,1.00,chr1,112532085,KCND3;KCND3,TSS1500;TSS1500,,
cg06986657,0.23,0.001,0.97,1.00,chr6,31439083,HCG26,Body,,
cg07636145,-0.24,0.001,0.97,1.00,chr16,56228188,DKFZP434H168;GNAO1;GNAO1,Body;Body;Body,,
cg21880765,-0.26,0.001,0.97,1.00,chr1,227962793,SNAP47,Body,,
cg15676455,-0.37,0.001,0.97,1.00,chr3,128564943,,,,
cg12417609,-0.36,0.001,0.97,1.00,chr12,87510712,,,,
cg24163242,0.19,0.001,0.97,1.00,chr8,48648813,,,,
cg13492692,0.36,0.001,0.97,1.00,chr9,126777673,LHX2,Body,,
cg14490882,0.44,0.001,0.97,1.00,chr5,1645474,,,,
cg05861512,-0.39,0.001,0.97,1.00,chr14,94442960,,,,
cg17311726,-0.20,0.001,0.97,1.00,chr5,537694,,,,
cg19364351,-0.56,0.001,0.97,1.00,chr11,6291879,CCKBR,Body,,
cg26820055,0.43,0.001,0.97,1.00,chr2,131721099,ARHGEF4;ARHGEF4,Body;Body,,
cg00254258,-0.86,0.001,0.97,1.00,chr1,3105189,PRDM16;PRDM16,Body;Body,,
cg17245135,0.33,0.001,0.97,1.00,chr5,88018524,MEF2C;MEF2C,Body;Body,,
cg05544413,0.30,0.001,0.97,1.00,chr6,127663627,ECHDC1;ECHDC1;ECHDC1;ECHDC1;ECHDC1,5'UTR;5'UTR;5'UTR;TSS200;5'UTR,,
cg26780581,0.23,0.001,0.97,1.00,chr6,161549519,,,,
cg06200634,-0.36,0.001,0.97,1.00,chr11,118966695,H2AFX,TSS1500,,
cg10132809,0.39,0.001,0.97,1.00,chr7,71198544,,,,
cg26335577,-0.32,0.001,0.97,1.00,chr3,144309719,,,,
cg04958496,-0.30,0.001,0.97,1.00,chr12,12391574,LRP6,Body,,
cg05200040,0.26,0.001,0.97,1.00,chr15,101143136,LINS1;ASB7;LINS1;ASB7;LINS1;ASB7;LINS1;ASB7,TSS1500;5'UTR;TSS1500;1stExon;TSS1500;5'UTR;TSS1500;1stExon,,
cg06251395,0.22,0.001,0.97,1.00,chr20,3663186,ADAM33;ADAM33,TSS1500;TSS1500,,
cg16357388,0.46,0.001,0.97,1.00,chr4,5892083,CRMP1,Body,,
cg14023881,-0.30,0.001,0.97,1.00,chr1,77230704,,,,
cg27455890,0.42,0.001,0.97,1.00,chr10,118976677,,,,
cg20149766,-0.26,0.001,0.97,1.00,chr5,6714666,POLS,TSS200,,
cg19789753,-0.36,0.001,0.97,1.00,chr2,242805962,,,,
cg12174276,0.15,0.001,0.97,1.00,chr6,166401921,LOC441177;C6orf176;C6orf176,Body;TSS1500;TSS1500,,
cg13368756,0.80,0.001,0.97,1.00,chr5,11904127,CTNND2,TSS200,,
cg15267232,0.47,0.001,0.97,1.00,chr10,8097689,GATA3;GATA3,Body;Body,,
cg07682179,-0.24,0.001,0.97,1.00,chr12,132400550,ULK1,Body,,
cg02166532,0.23,0.001,0.97,1.00,chr11,2159853,INS-IGF2;IGF2;IGF2;IGF2;IGF2,Body;Body;5'UTR;5'UTR;1stExon,,
cg26572811,0.26,0.001,0.97,1.00,chr17,14206901,HS3ST3B1;MGC12916,Body;TSS200,,
cg01891260,-0.19,0.001,0.97,1.00,chr22,22597869,VPREB1,TSS1500,,
cg13799081,-0.32,0.001,0.97,1.00,chr10,112410313,RBM20,Body,,
cg18050291,0.68,0.001,0.97,1.00,chr17,17399405,RASD1,1stExon,,
cg22938488,0.20,0.001,0.97,1.00,chr5,1501670,LPCAT1,Body,,
cg10144493,-0.34,0.001,0.97,1.00,chr6,33395133,SYNGAP1,Body,,
cg12323850,0.38,0.001,0.97,1.00,chr11,94245795,,,,
cg16038003,0.35,0.001,0.97,1.00,chr7,27226148,HOXA11AS;HOXA11,Body;TSS1500,,
cg03212131,-0.45,0.001,0.97,1.00,chr5,33958213,SLC45A2;SLC45A2,Body;Body,,
cg22081905,-0.55,0.001,0.97,1.00,chr11,2441442,TRPM5,Body,,
cg01904145,-0.57,0.001,0.97,1.00,chr3,71831301,PROK2;PROK2,Body;Body,,
cg09141338,0.20,0.001,0.97,1.00,chr17,7517217,FXR2;SHBG,Body;TSS200,,
cg20003494,-0.54,0.001,0.97,1.00,chr4,90757398,SNCA;SNCA;SNCA;SNCA,5'UTR;5'UTR;5'UTR;5'UTR,,
cg01634410,0.25,0.001,0.97,1.00,chr13,64411884,,,,
cg27627821,-0.33,0.001,0.97,1.00,chr4,177347632,,,,
cg04034967,0.74,0.001,0.97,1.00,chr7,1309108,,,,
cg04340874,0.24,0.001,0.97,1.00,chr7,27225811,HOXA11AS;HOXA11,Body;TSS1500,,
cg18364770,-0.21,0.001,0.97,1.00,chr5,168310523,SLIT3,Body,,
cg20824840,-0.30,0.001,0.97,1.00,chr1,177138043,,,,
cg27451362,-0.50,0.001,0.97,1.00,chr6,101846650,GRIK2;GRIK2;GRIK2,TSS1500;TSS1500;TSS1500,,
cg08528486,0.18,0.001,0.97,1.00,chr13,113648767,MCF2L;MCF2L,Body;Body,,
cg16037200,-0.30,0.001,0.97,1.00,chr15,38670590,,,,
cg15381769,0.29,0.001,0.97,1.00,chr6,128841972,PTPRK;PTPRK,TSS200;TSS200,,
cg18490350,-0.32,0.001,0.97,1.00,chr7,106662183,,,,
cg16728651,-0.24,0.001,0.97,1.00,chr6,55767865,,,,
cg07232033,0.32,0.001,0.97,1.00,chr2,236403031,AGAP1;AGAP1;AGAP1;AGAP1,1stExon;1stExon;5'UTR;5'UTR,,
cg26392367,-0.24,0.001,0.97,1.00,chr17,17566891,,,,
cg25672411,0.28,0.001,0.97,1.00,chr3,195423806,,,,
cg06800962,-0.30,0.001,0.97,1.00,chr3,149096029,TM4SF1,TSS1500,,
cg09009410,0.63,0.001,0.97,1.00,chr10,33624100,NRP1;NRP1;NRP1,TSS1500;TSS1500;TSS1500,,
cg17371294,-0.35,0.001,0.97,1.00,chr5,178012716,COL23A1,Body,,
cg07868599,-1.04,0.001,0.97,1.00,chr16,3079708,CCDC64B,Body,,
cg12438889,0.23,0.001,0.97,1.00,chr17,77824801,,,,
cg15884713,-0.54,0.001,0.97,1.00,chr12,772966,NINJ2,TSS1500,,
cg02705835,0.33,0.001,0.97,1.00,chr3,49203908,CCDC71,TSS200,,
cg12093620,0.21,0.001,0.97,1.00,chr8,97345965,PTDSS1,3'UTR,,
cg08753841,-0.23,0.001,0.97,1.00,chr8,1815153,ARHGEF10,Body,,
cg15253293,0.31,0.001,0.97,1.00,chr17,79366853,,,,
cg26565974,0.22,0.001,0.97,1.00,chr5,173846716,,,,
cg14320087,0.33,0.001,0.97,1.00,chr8,74005537,C8orf84,TSS200,,
cg19729116,0.35,0.001,0.97,1.00,chr6,26501981,BTN1A1,Body,,
cg27235789,-0.28,0.001,0.97,1.00,chr1,219644411,,,,
cg14324370,0.23,0.001,0.97,1.00,chr2,177042789,,,,
cg09933108,0.31,0.001,0.97,1.00,chr8,96002841,,,,
cg15153957,-0.24,0.001,0.97,1.00,chr19,40736427,AKT2,3'UTR,,
cg07347128,0.55,0.001,0.97,1.00,chr12,48336360,,,,
cg11997603,0.20,0.001,0.97,1.00,chr11,1008177,AP2A2,Body,,
cg00912316,-0.24,0.001,0.97,1.00,chr1,43312512,ZNF691,5'UTR,,
cg04293930,0.22,0.001,0.97,1.00,chr6,35465845,TULP1;TEAD3,3'UTR;TSS1500,,
cg14714009,0.21,0.001,0.97,1.00,chr6,149285724,UST,Body,,
cg17330672,0.67,0.001,0.97,1.00,chr22,31218629,OSBP2,Body,,
cg08005093,0.31,0.001,0.97,1.00,chr17,63532898,AXIN2,Body,,
cg21449897,-0.26,0.001,0.97,1.00,chr1,14761770,,,,
cg00185566,0.27,0.001,0.97,1.00,chr1,14925856,KIAA1026;KIAA1026,Body;Body,,
cg20384898,0.37,0.001,0.97,1.00,chr6,1625111,GMDS,Body,,
cg15656813,0.23,0.001,0.97,1.00,chr4,81104695,,,,
cg03787088,-0.28,0.001,0.97,1.00,chr11,34847603,,,,
cg15118606,0.20,0.001,0.97,1.00,chr1,14954053,KIAA1026;KIAA1026,Body;Body,,
cg26152530,-0.19,0.001,0.97,1.00,chr5,6714176,POLS,TSS1500,,
cg04627186,0.33,0.001,0.97,1.00,chr2,178257342,LOC100130691;AGPS,Body;TSS200,,
cg01106909,0.15,0.001,0.97,1.00,chr11,1778627,HCCA2;CTSD,Body;Body,,
cg23269655,0.16,0.001,0.97,1.00,chr10,75541687,CHCHD1,TSS200,,
cg18202765,-0.31,0.001,0.97,1.00,chr15,32157492,,,,
cg20865082,-0.27,0.001,0.97,1.00,chr3,139557385,,,,
cg26847490,-0.27,0.001,0.97,1.00,chr7,95115289,ASB4;ASB4,1stExon;1stExon,,
cg22477731,-0.22,0.001,0.97,1.00,chr13,112983647,,,,
cg05998826,0.19,0.001,0.97,1.00,chr3,31494410,,,,
cg22217925,-0.16,0.001,0.97,1.00,chr19,33682977,,,,
cg15778437,0.50,0.001,0.97,1.00,chr11,31839521,PAX6,TSS200,,
cg10434624,-0.27,0.001,0.97,1.00,chr1,7722876,CAMTA1,Body,,
