"Excel Table 1: Differentially methylatied positions (p < 0.05) within the Chile PBMC study. Models adjusted for sex, age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg16247155,-0.23,0.0001190421333,0.78,1.00,chr1,212729992,,
cg14996805,-0.33,0.0001208075743,0.78,1.00,chr17,56430170,SUPT4H1,TSS1500
cg09618141,-0.23,0.000121001202,0.78,1.00,chr21,19192457,C21orf91;C21orf91;C21orf91,TSS1500;TSS1500;TSS1500
cg07447999,-0.30,0.0001210643733,0.78,1.00,chr7,158601018,ESYT2,Body
cg08680083,-0.35,0.0001223212315,0.78,1.00,chr19,50309143,AP2A1;AP2A1,Body;Body
cg11854007,0.35,0.0001226361211,0.78,1.00,chr20,31781697,BASE,Body
cg21589401,-0.35,0.0001255801113,0.78,1.00,chr21,48055511,PRMT2;PRMT2;PRMT2;PRMT2;PRMT2;PRMT2;PRMT2;PRMT2;PRMT2;PRMT2;PRMT2;PRMT2;PRMT2;PRMT2;PRMT2;PRMT2,1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR
cg09057327,0.39,0.0001264702851,0.78,1.00,chr14,101428404,SNORD114-7,TSS1500
cg14396892,0.74,0.0001327126994,0.78,1.00,chr9,96623032,,
cg11689786,-0.22,0.000132836745,0.78,1.00,chr12,56547674,MYL6B;MYL6B;MYL6B,5'UTR;5'UTR;ExonBnd
cg27104499,-0.42,0.0001342067408,0.78,1.00,chr5,130624191,CDC42SE2;CDC42SE2,5'UTR;5'UTR
cg11847078,-0.43,0.0001342464125,0.78,1.00,chr7,1222704,,
cg26363542,-0.37,0.0001356188533,0.78,1.00,chr17,7742949,KDM6B,TSS1500
cg00038877,-0.26,0.0001367838909,0.78,1.00,chr1,227172604,CABC1,Body
cg12819207,-0.30,0.000137360979,0.78,1.00,chr5,58428017,PDE4D;PDE4D;PDE4D;PDE4D;PDE4D;PDE4D,Body;Body;Body;Body;Body;Body
cg26288449,-0.36,0.0001375206663,0.78,1.00,chr19,56048453,SBK2,TSS1500
cg16732046,0.31,0.0001384064495,0.78,1.00,chr12,99040195,IKBIP;IKBIP;IKBIP;APAF1;APAF1;APAF1;APAF1;APAF1,TSS1500;TSS1500;TSS1500;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR
cg14780551,-0.32,0.0001414810008,0.78,1.00,chr19,23187409,ZNF728,TSS1500
cg16556380,-0.28,0.0001427844571,0.78,1.00,chr11,123278461,,
cg13412389,-0.30,0.0001431105838,0.78,1.00,chr15,60753174,ICE2;ICE2;ICE2,Body;Body;Body
cg24687253,-0.24,0.0001468206476,0.78,1.00,chr7,100865887,ZNHIT1,Body
cg02150126,0.26,0.0001483618485,0.78,1.00,chr7,20443181,ITGB8,Body
cg20928500,0.40,0.0001497379873,0.78,1.00,chr7,111726798,DOCK4,Body
cg07081753,-0.25,0.0001498377506,0.78,1.00,chr10,71718679,COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1,3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR
cg13877895,0.29,0.0001518735224,0.78,1.00,chr2,69201009,GKN1,TSS1500
cg05837401,0.41,0.0001531565628,0.78,1.00,chr3,125899086,ALDH1L1,5'UTR
cg14278808,0.33,0.0001533172384,0.78,1.00,chr8,9761141,LOC157627;MIR124-1,TSS1500;TSS200
cg21367783,-0.25,0.0001542249954,0.78,1.00,chr7,4775278,FOXK1,Body
cg07005363,-0.33,0.0001562602444,0.78,1.00,chr17,54917267,DGKE,Body
cg19124509,0.38,0.0001580232534,0.78,1.00,chr4,87281412,MAPK10;MAPK10;MAPK10,TSS200;TSS200;5'UTR
cg07906551,-0.24,0.0001584973548,0.78,1.00,chr3,159614993,SCHIP1,3'UTR
cg21011652,0.41,0.0001594652779,0.78,1.00,chr1,53192635,ZYG11B,Body
cg00991871,0.42,0.0001617557589,0.78,1.00,chr1,214358938,,
cg24721432,-0.28,0.0001624069026,0.78,1.00,chr1,185375846,,
cg12669485,-0.28,0.000162796793,0.78,1.00,chr4,186184912,SNX25,Body
cg11298535,-0.25,0.0001632946189,0.78,1.00,chr6,168920172,SMOC2;SMOC2,Body;Body
cg04830409,0.29,0.0001648401963,0.78,1.00,chr12,64615927,C12orf66,1stExon
cg02712194,-0.40,0.0001657570329,0.78,1.00,chr7,88387998,ZNF804B,TSS1500
cg07035454,-0.29,0.0001664232129,0.78,1.00,chr8,107552054,OXR1,Body
cg17012555,-0.30,0.0001689701802,0.78,1.00,chr2,232025074,PSMD1,Body
cg03374148,0.51,0.0001725887919,0.78,1.00,chr4,54548670,,
cg21969190,-0.44,0.000176459672,0.78,1.00,chr5,94990682,RFESD;RFESD;RFESD,Body;Body;Body
cg22942804,-0.66,0.00017838252,0.78,1.00,chr6,26183572,HIST1H2BE,TSS1500
cg18405691,0.55,0.000178819791,0.78,1.00,chr11,55322753,OR4C15,1stExon
cg06868736,0.31,0.0001791681275,0.78,1.00,chr10,133918045,JAKMIP3,TSS1500
cg26286281,-0.22,0.0001794415593,0.78,1.00,chr11,63764602,OTUB1;OTUB1,Body;Body
cg13878487,-0.33,0.0001795671027,0.78,1.00,chr18,77799808,RBFA;RBFA,Body;Body
cg01349246,-0.36,0.0001799108477,0.78,1.00,chr6,9406296,,
cg00230346,-0.29,0.0001905299782,0.78,1.00,chr6,74634112,,
cg20060080,-0.26,0.0001907270249,0.78,1.00,chr15,44063940,PDIA3,3'UTR
cg01927825,-0.40,0.0001909029629,0.78,1.00,chr1,2121724,C1orf86;LOC100128003;C1orf86,Body;Body;Body
cg02589099,-0.27,0.0001917646385,0.78,1.00,chr14,31612068,HECTD1,Body
cg07773838,0.58,0.0001919004281,0.78,1.00,chr18,864836,,
cg04741689,-0.36,0.0001924710164,0.78,1.00,chr17,76124828,TMC6;TMC6;TMC6,5'UTR;1stExon;5'UTR
cg11668797,0.34,0.0001940184726,0.78,1.00,chr14,57197411,,
cg13217238,-0.32,0.0001957343838,0.78,1.00,chr4,122085777,TNIP3;TNIP3;TNIP3,TSS1500;Body;Body
cg25230902,-0.32,0.0001973252582,0.78,1.00,chr2,239709312,,
cg01789829,0.38,0.000197362268,0.78,1.00,chr5,148057666,,
cg11862491,-0.37,0.000201751387,0.78,1.00,chr15,78799806,AGPHD1;AGPHD1,TSS200;TSS200
cg10698097,0.60,0.0002023699861,0.78,1.00,chr3,140401765,TRIM42,Body
cg00386013,0.32,0.0002024382687,0.78,1.00,chr2,60962401,,
cg21264207,0.29,0.0002026690425,0.78,1.00,chr10,64576130,EGR2;EGR2;EGR2;EGR2,TSS200;5'UTR;TSS200;TSS200
cg07649718,-0.22,0.0002044560703,0.78,1.00,chr18,72132978,,
cg15046081,-0.30,0.0002047993473,0.78,1.00,chr18,21050557,RIOK3,Body
cg16193078,-0.23,0.0002050872411,0.78,1.00,chr22,18603321,TUBA8;TUBA8,5'UTR;Body
cg27386563,-0.26,0.0002096379099,0.78,1.00,chr15,44951894,SPG11;SPG11,Body;Body
cg05346536,-0.37,0.0002101290906,0.78,1.00,chr7,128769728,,
cg16922900,-0.46,0.0002102468081,0.78,1.00,chr11,124616321,NRGN;NRGN,3'UTR;3'UTR
cg11985754,-0.23,0.0002105670242,0.78,1.00,chr4,1214965,CTBP1;CTBP1,Body;Body
cg03875235,0.41,0.0002108840191,0.78,1.00,chr11,625052,MUPCDH;MUPCDH,TSS200;TSS200
cg18313094,0.59,0.0002116589087,0.78,1.00,chr19,57633694,USP29,5'UTR
cg19923683,-0.33,0.0002125710884,0.78,1.00,chr2,106510087,NCK2;NCK2;NCK2,3'UTR;3'UTR;3'UTR
cg02155326,0.34,0.0002127349144,0.78,1.00,chr17,53628984,,
cg00139304,0.30,0.0002134200169,0.78,1.00,chr2,11765120,GREB1,Body
cg08103980,-0.27,0.0002139811219,0.78,1.00,chr16,1682130,CRAMP1L,Body
cg03589920,-0.32,0.000217899634,0.78,1.00,chr16,3153315,,
cg05558390,-0.28,0.0002179592982,0.78,1.00,chr20,57415377,GNASAS;GNAS,Body;1stExon
cg11283402,-0.25,0.0002186988673,0.78,1.00,chr10,63820445,ARID5B,Body
cg00947599,-0.48,0.0002195062043,0.78,1.00,chr7,2802697,GNA12,Body
cg00908813,0.43,0.0002196347729,0.78,1.00,chr3,139464848,,
cg09819395,-0.26,0.00022043802,0.78,1.00,chr7,106825908,HBP1;HBP1,Body;Body
cg03853807,0.30,0.0002204457109,0.78,1.00,chr6,168947817,SMOC2;SMOC2,Body;Body
cg07998908,0.33,0.0002209522362,0.78,1.00,chr4,5035653,,
cg10648817,-0.41,0.0002247020604,0.78,1.00,chr22,33045620,SYN3;SYN3;SYN3,Body;Body;Body
cg05732089,-0.20,0.0002274312238,0.78,1.00,chr11,72914720,,
cg21213111,-0.63,0.0002277318116,0.78,1.00,chr9,134000493,NUP214,TSS1500
cg06937653,-0.25,0.0002314369096,0.78,1.00,chr14,71291951,,
cg08084391,0.32,0.0002320738743,0.78,1.00,chr9,74763790,GDA;GDA;GDA;GDA,TSS1500;TSS1500;TSS1500;5'UTR
cg15298179,-0.27,0.0002349471927,0.78,1.00,chr17,4602777,PELP1;PELP1,Body;5'UTR
cg22260003,0.27,0.0002358354129,0.78,1.00,chr22,45847302,,
cg06919930,-0.35,0.0002361385212,0.78,1.00,chr16,85272498,,
cg09068169,-0.29,0.0002372659651,0.78,1.00,chr17,952071,ABR;ABR;ABR,Body;Body;Body
cg21376109,-0.32,0.0002384126068,0.78,1.00,chr6,144033157,PHACTR2;PHACTR2;PHACTR2;PHACTR2,Body;Body;Body;Body
cg14561766,-0.47,0.0002411291759,0.78,1.00,chr20,388133,RBCK1;RBCK1,TSS1500;TSS1500
cg14197169,0.40,0.0002436477703,0.78,1.00,chr12,131200394,,
cg25432306,-0.31,0.0002441994599,0.78,1.00,chr12,23327347,LOC101928441,TSS1500
cg27212729,0.52,0.0002447613633,0.78,1.00,chr2,171570838,LOC440925;SP5,Body;TSS1500
cg17714010,-0.20,0.0002455572134,0.78,1.00,chr17,78968450,CHMP6,Body
cg02535060,-0.54,0.000247037949,0.78,1.00,chr10,134150690,LRRC27;LRRC27;LRRC27;LRRC27;LRRC27,Body;Body;Body;Body;Body
cg16843436,-0.29,0.0002475416579,0.78,1.00,chr16,17406298,XYLT1,Body
cg08221741,0.29,0.0002482030288,0.78,1.00,chr7,70931770,WBSCR17,Body
cg10179072,-0.44,0.0002506346348,0.78,1.00,chr21,45548059,PWP2,Body
cg21711368,-0.23,0.0002508778323,0.78,1.00,chr10,100038288,,
cg13235761,-0.26,0.0002514236745,0.78,1.00,chr1,203561580,,
cg05406799,-0.25,0.0002521296917,0.78,1.00,chr11,95618335,MTMR2;MTMR2;MTMR2;MTMR2,Body;5'UTR;5'UTR;5'UTR
cg09793269,-0.40,0.0002521436051,0.78,1.00,chr12,105348269,,
cg14534180,0.41,0.0002521759268,0.78,1.00,chr12,115542148,,
cg15565987,-0.24,0.000253076283,0.78,1.00,chr1,89357945,GTF2B,TSS1500
cg10961323,0.44,0.0002537332165,0.78,1.00,chr1,24127976,GALE;GALE,TSS1500;TSS1500
cg05243498,-0.31,0.0002544725054,0.78,1.00,chr3,122043094,CSTA,TSS1500
cg08143038,0.42,0.0002555493021,0.78,1.00,chr4,8578207,,
cg14842825,-0.21,0.0002573071882,0.78,1.00,chr2,162179461,PSMD14,Body
cg06781656,0.39,0.0002580976201,0.78,1.00,chr4,3675120,,
cg08724474,0.29,0.0002583233294,0.78,1.00,chr5,150827012,SLC36A1,TSS200
cg00652027,-0.31,0.0002585612784,0.78,1.00,chr16,21311968,NCRNA00169;CRYM,TSS1500;5'UTR
cg04932612,-0.23,0.0002585806464,0.78,1.00,chr1,42335050,HIVEP3;HIVEP3;HIVEP3;HIVEP3,5'UTR;5'UTR;Body;Body
cg15050753,0.37,0.0002591920331,0.78,1.00,chr3,44067688,,
cg00423811,-0.37,0.0002594864618,0.78,1.00,chr7,157359579,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body
cg09190691,0.36,0.0002596557858,0.78,1.00,chr11,95276966,,
cg18347446,-0.25,0.0002616087405,0.78,1.00,chr6,151012068,PLEKHG1,5'UTR
cg22893405,-0.36,0.0002616313259,0.78,1.00,chr7,6198604,USP42,Body
cg18398557,-0.25,0.000262051591,0.78,1.00,chr1,41282523,KCNQ4;KCNQ4,Body;Body
cg10062049,0.43,0.000263323057,0.78,1.00,chr7,116140267,CAV2;CAV2,Body;Body
cg20897575,-0.29,0.0002652370684,0.78,1.00,chr17,3195985,OR3A1,TSS200
cg13730500,-0.19,0.0002666135736,0.78,1.00,chr3,183613454,,
cg20071180,-0.21,0.0002668222089,0.78,1.00,chr1,78278569,FAM73A;FAM73A,Body;Body
cg02595931,-0.35,0.0002668576547,0.78,1.00,chr8,116519474,TRPS1;TRPS1;TRPS1,Body;Body;Body
cg02873048,0.30,0.0002671829744,0.78,1.00,chr2,37559202,,
cg03008515,0.31,0.0002675194596,0.78,1.00,chr14,20692622,OR11H6,1stExon
cg02418899,0.39,0.0002681948293,0.78,1.00,chr7,31092589,ADCYAP1R1,5'UTR
cg19345940,-0.38,0.0002683196647,0.78,1.00,chr8,142222121,SLC45A4,Body
cg15827771,-0.36,0.0002702225766,0.78,1.00,chr15,58856164,LIPC,Body
cg03330181,-0.58,0.0002721711741,0.78,1.00,chr10,134150700,LRRC27;LRRC27;LRRC27;LRRC27;LRRC27;LRRC27,1stExon;Body;Body;Body;Body;5'UTR
cg02709607,-0.20,0.0002726123519,0.78,1.00,chr11,64130614,RPS6KA4;RPS6KA4;RPS6KA4,Body;Body;Body
cg08596773,0.32,0.0002733557182,0.78,1.00,chr12,119510333,SRRM4,Body
cg00990504,-0.26,0.0002734985856,0.78,1.00,chr10,27507864,ACBD5;ACBD5;ACBD5;ACBD5;ACBD5;ACBD5;ACBD5,Body;Body;Body;Body;Body;Body;Body
cg22851759,0.32,0.0002746700622,0.78,1.00,chr16,49784915,ZNF423;ZNF423,Body;5'UTR
cg07217935,0.28,0.000279137368,0.78,1.00,chr13,70681317,KLHL1;ATXN8OS,Body;TSS200
cg14660676,0.42,0.000279285444,0.78,1.00,chr8,126012434,SQLE,Body
cg17059705,0.31,0.0002792955674,0.78,1.00,chr19,44487806,ZNF155;ZNF155;ZNF155;ZNF155;ZNF155,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500
cg05951994,-0.41,0.0002802054391,0.78,1.00,chr10,134150760,LRRC27;LRRC27;LRRC27;LRRC27;LRRC27,Body;Body;Body;Body;Body
cg07844369,0.39,0.0002812891262,0.78,1.00,chr16,31813373,,
cg14086826,0.33,0.0002821499579,0.78,1.00,chr9,138757010,CAMSAP1,Body
cg18280131,-0.22,0.0002827376234,0.78,1.00,chr8,95625068,,
cg05628259,-0.46,0.0002838059282,0.78,1.00,chr5,127716558,FBN2,Body
cg12304441,0.37,0.0002847842915,0.78,1.00,chr12,62653866,USP15,TSS1500
cg12467833,-0.22,0.0002851479832,0.78,1.00,chr11,71163382,NADSYN1,TSS1500
cg16920189,-0.54,0.0002864015328,0.78,1.00,chr15,100105709,MEF2A;MEF2A;MEF2A,TSS1500;TSS1500;TSS1500
cg24787138,-0.27,0.0002866669187,0.78,1.00,chr6,43214590,TTBK1,Body
cg22685369,0.34,0.0002881279332,0.78,1.00,chr1,234040395,SLC35F3,TSS1500
cg03616755,0.42,0.0002903183449,0.78,1.00,chr9,87284627,NTRK2;NTRK2;NTRK2;NTRK2;NTRK2;NTRK2;NTRK2;NTRK2;NTRK2,5'UTR;5'UTR;TSS1500;1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR
cg10633051,-0.56,0.0002912605348,0.78,1.00,chr2,168042982,XIRP2;XIRP2,Body;Body
cg01376318,-0.20,0.0002926348298,0.78,1.00,chr17,29902246,MIR365-2,TSS200
cg02963149,-0.30,0.0002929191428,0.78,1.00,chr9,131580598,ENDOG,TSS200
cg02296661,0.39,0.0002961421329,0.78,1.00,chr9,74843382,GDA;GDA;GDA;GDA,Body;Body;Body;Body
cg07946977,0.37,0.0002963464037,0.78,1.00,chr1,221886639,DUSP10;DUSP10;DUSP10,5'UTR;Body;5'UTR
cg13980233,0.38,0.0002982254786,0.78,1.00,chr8,136246255,LOC286094,TSS200
cg23345824,0.31,0.0002987218408,0.78,1.00,chr6,99005830,,
cg06547541,0.31,0.0002990333391,0.78,1.00,chr8,962834,,
cg26319410,-0.31,0.0002999015906,0.78,1.00,chr1,180727830,XPR1;XPR1,Body;Body
cg05353112,0.31,0.0003003310085,0.78,1.00,chr1,179050387,TOR3A,TSS1500
cg06396708,-0.25,0.000300402671,0.78,1.00,chr9,99221671,HABP4,Body
cg14913178,0.59,0.0003014896632,0.78,1.00,chr6,27521267,,
cg04645886,-0.30,0.000302054932,0.78,1.00,chr4,1214608,CTBP1;CTBP1,Body;Body
cg21778332,-0.20,0.0003021749004,0.78,1.00,chr17,28254025,SSH2,Body
cg25940392,0.40,0.0003041534616,0.78,1.00,chr21,38064699,,
cg17487719,-0.35,0.0003059284584,0.78,1.00,chr2,239628789,,
cg13414016,-0.28,0.0003061414243,0.78,1.00,chr19,48044400,ZNF541,Body
cg10942690,-0.22,0.0003064774791,0.78,1.00,chr14,95538480,,
cg04781626,0.24,0.0003074950028,0.78,1.00,chr3,135172091,,
cg15485728,0.24,0.0003086692012,0.78,1.00,chr9,79521359,PRUNE2,TSS1500
cg06777265,0.22,0.0003091452561,0.78,1.00,chr8,49748488,,
cg04285688,0.28,0.0003095629983,0.78,1.00,chr7,141400375,KIAA1147,Body
cg03201367,-0.24,0.0003098836324,0.78,1.00,chr21,32623901,TIAM1,Body
cg09193751,0.32,0.0003103110721,0.78,1.00,chr7,157691591,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body
