"Excel Table 5: Differentially variable positions (p < 0.05) within the Chile PBMC study. Models adjusted for sex, age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg25530169,-0.40,2.96E-05,0.355,1.000,chr9,91002900,SPIN1,TSS1500
cg22827124,-0.33,3.00E-05,0.355,1.000,chr2,71126982,VAX2,TSS1500
cg18375494,0.39,3.07E-05,0.357,1.000,chr11,134146324,GLB1L3;GLB1L3,5'UTR;1stExon
cg04482075,-0.13,3.41E-05,0.391,1.000,chr16,1991308,SEPX1,Body
cg07001914,-0.23,3.59E-05,0.391,1.000,chr22,38610207,MAFF;MAFF;MAFF;MAFF,Body;Body;Body;5'UTR
cg02785578,-0.25,3.61E-05,0.391,1.000,chr3,170763375,,
cg27286093,0.60,3.67E-05,0.391,1.000,chr2,235204449,,
cg18977660,-0.28,3.68E-05,0.391,1.000,chr17,1582323,PRPF8;PRPF8,ExonBnd;Body
cg09559521,0.59,3.68E-05,0.391,1.000,chr16,73990663,,
cg08049197,-0.29,3.80E-05,0.399,1.000,chr20,23080470,,
cg04141141,0.33,3.98E-05,0.408,1.000,chr5,54777774,PPAP2A;PPAP2A,Body;Body
cg01614101,0.26,4.00E-05,0.408,1.000,chr11,113778771,HTR3B,Body
cg01699126,-0.20,4.20E-05,0.421,1.000,chr13,51912443,,
cg04815611,-0.28,4.28E-05,0.421,1.000,chr11,64262108,,
cg18113786,-0.46,4.35E-05,0.421,1.000,chr22,50757546,DENND6B,Body
cg07154016,-0.25,4.36E-05,0.421,1.000,chr10,119332255,,
cg27183551,-1.05,4.46E-05,0.421,1.000,chr5,36242037,NADK2;NADK2;NADK2;NADK2,TSS1500;TSS200;5'UTR;5'UTR
cg20739904,-0.18,4.50E-05,0.421,1.000,chr5,6629638,NSUN2,Body
cg03567760,-0.24,4.52E-05,0.421,1.000,chr20,23341721,,
cg26809497,-0.33,4.81E-05,0.430,1.000,chr8,69244152,,
cg12281325,0.23,4.86E-05,0.430,1.000,chr19,32893668,,
cg22368476,-0.26,4.96E-05,0.430,1.000,chr11,123814163,OR6T1,1stExon
cg19389256,-0.22,4.97E-05,0.430,1.000,chr10,79734342,,
cg13282294,-0.22,5.04E-05,0.430,1.000,chr10,19408880,,
cg14234112,0.25,5.12E-05,0.430,1.000,chr6,32862402,,
cg14475857,0.74,5.14E-05,0.430,1.000,chr18,13392226,LDLRAD4;LDLRAD4,Body;Body
cg27358097,-0.33,5.26E-05,0.430,1.000,chr11,11643816,GALNTL4,TSS1500
cg13381718,0.25,5.40E-05,0.430,1.000,chr12,108955348,ISCU;ISCU;SART3,TSS1500;TSS1500;TSS200
cg13580834,0.30,5.44E-05,0.430,1.000,chr9,124022933,,
cg18590288,-0.25,5.54E-05,0.430,1.000,chr13,41874163,,
cg03274234,0.25,5.55E-05,0.430,1.000,chr8,103286394,UBR5;UBR5,Body;Body
cg23504475,0.23,5.60E-05,0.430,1.000,chr17,80464732,,
cg23797270,-0.31,5.60E-05,0.430,1.000,chr11,71110373,,
cg27495908,-0.41,5.63E-05,0.430,1.000,chr9,90498223,C9orf79,Body
cg05592996,-0.47,5.65E-05,0.430,1.000,chr3,47823995,SMARCC1,TSS1500
cg06581137,-0.27,5.74E-05,0.430,1.000,chr8,68934915,PREX2;PREX2,Body;Body
cg02953382,-1.01,5.78E-05,0.430,1.000,chr22,24373134,LOC391322;LOC391322,5'UTR;1stExon
cg09843173,-0.39,5.87E-05,0.430,1.000,chr1,100316334,AGL;AGL;AGL;AGL;AGL;AGL,TSS200;1stExon;5'UTR;5'UTR;5'UTR;5'UTR
cg05250953,0.61,5.96E-05,0.430,1.000,chr7,92463343,CDK6;CDK6,5'UTR;TSS200
cg26884400,-0.17,6.00E-05,0.430,1.000,chr21,30035487,,
cg21351745,-1.19,6.01E-05,0.430,1.000,chr16,48151992,ABCC12,Body
cg26396455,-0.47,6.07E-05,0.430,1.000,chr12,57619290,NXPH4,Body
cg02858422,-0.25,6.13E-05,0.430,1.000,chr5,96282239,LNPEP,Body
cg18717167,0.17,6.44E-05,0.430,1.000,chr17,80266962,,
cg04522498,0.19,6.44E-05,0.430,1.000,chr8,140902310,TRAPPC9;TRAPPC9,Body;Body
cg25286768,-0.26,6.54E-05,0.430,1.000,chr2,25117857,ADCY3,Body
cg22329831,-0.24,6.66E-05,0.430,1.000,chr6,46655820,TDRD6;TDRD6;TDRD6;TDRD6,1stExon;5'UTR;5'UTR;1stExon
cg23362473,-0.20,6.72E-05,0.430,1.000,chr20,4680742,PRNP;PRNP;PRNP;PRNP;PRNP,3'UTR;3'UTR;3'UTR;3'UTR;3'UTR
cg02078001,-0.57,6.81E-05,0.430,1.000,chr2,106755680,UXS1;UXS1;UXS1;UXS1,TSS1500;Body;Body;Body
cg06253072,-0.54,6.83E-05,0.430,1.000,chr6,33679850,C6orf125,TSS1500
cg12898061,-0.28,6.84E-05,0.430,1.000,chr4,129728210,,
cg24682751,-0.36,6.85E-05,0.430,1.000,chr15,93591750,RGMA;RGMA;RGMA;RGMA;RGMA;RGMA,Body;Body;Body;Body;Body;Body
cg19093890,-0.33,6.89E-05,0.430,1.000,chr2,240868184,,
cg23708842,0.59,6.92E-05,0.430,1.000,chr7,30067004,PLEKHA8;PLEKHA8;PLEKHA8;FKBP14;FKBP14;FKBP14,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500
cg22653016,-0.23,6.94E-05,0.430,1.000,chr6,8196178,,
cg06252810,1.91,6.94E-05,0.430,1.000,chr18,77378261,,
cg25108566,-0.33,6.95E-05,0.430,1.000,chr6,27775657,HIST1H2AI;HIST1H2BL,TSS1500;1stExon
cg19888684,-0.23,6.96E-05,0.430,1.000,chr7,112002922,,
cg06688514,-0.24,6.96E-05,0.430,1.000,chr11,46998401,C11orf49;C11orf49;C11orf49;C11orf49;C11orf49;C11orf49;C11orf49,Body;Body;Body;Body;Body;Body;Body
cg03620561,-0.36,6.99E-05,0.430,1.000,chr12,5195551,,
cg13701855,-0.48,7.05E-05,0.430,1.000,chr19,52532420,ZNF614,TSS1500
cg03147452,-1.25,7.21E-05,0.434,1.000,chr12,123868545,SETD8,TSS200
cg03386956,-0.29,7.28E-05,0.434,1.000,chr8,25187433,DOCK5,Body
cg20589120,-0.26,7.33E-05,0.434,1.000,chr4,54425332,LNX1;LNX1,TSS1500;Body
cg24291855,-0.23,7.38E-05,0.434,1.000,chr11,4693879,,
cg12790740,0.68,7.39E-05,0.434,1.000,chr12,55583114,,
cg12442871,-0.35,7.53E-05,0.438,1.000,chr11,113500945,,
cg14376312,-0.38,7.65E-05,0.442,1.000,chr8,143508084,,
cg22998020,0.19,7.76E-05,0.444,1.000,chr19,10983896,CARM1,Body
cg16306629,-0.95,7.81E-05,0.444,1.000,chr8,119128678,,
cg16260113,-0.98,7.99E-05,0.451,1.000,chr12,107380972,MTERFD3;MTERFD3,TSS200;TSS200
cg21941223,-0.21,8.15E-05,0.457,1.000,chr19,2926894,,
cg26689848,-0.22,8.25E-05,0.459,1.000,chr7,158109339,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body
cg11958793,-0.21,8.32E-05,0.459,1.000,chr17,70231287,,
cg25147866,0.32,8.45E-05,0.463,1.000,chr1,180992098,STX6,TSS200
cg13049359,0.44,8.54E-05,0.464,1.000,chr4,188891490,,
cg06798920,0.17,8.61E-05,0.465,1.000,chr2,231920671,PSMD1;PSMD1;PSMD1,TSS1500;TSS1500;TSS1500
cg07944258,0.21,9.02E-05,0.482,1.000,chr4,76407419,RCHY1;RCHY1;RCHY1,3'UTR;3'UTR;3'UTR
cg24020843,0.47,9.22E-05,0.482,1.000,chr4,102903077,BANK1;BANK1;BANK1,Body;Body;Body
cg22859541,-0.24,9.24E-05,0.482,1.000,chr11,35661579,,
cg21325181,-0.17,9.32E-05,0.482,1.000,chr17,51062215,C17orf112,TSS1500
cg15236448,-0.20,9.40E-05,0.482,1.000,chr10,133950769,JAKMIP3,Body
cg05992085,0.19,9.43E-05,0.482,1.000,chr15,76503064,,
cg17525519,-0.35,9.46E-05,0.482,1.000,chr12,68072859,,
cg05787120,0.22,9.55E-05,0.482,1.000,chr3,50365854,TUSC2,TSS200
cg24706992,-0.17,9.62E-05,0.482,1.000,chr1,1833078,,
cg23415811,-0.16,9.71E-05,0.482,1.000,chr2,180449138,ZNF385B;ZNF385B;ZNF385B;ZNF385B,5'UTR;Body;Body;Body
cg14115660,-0.16,9.80E-05,0.482,1.000,chr11,33730346,CD59;CD59;CD59;CD59;CD59;CD59;CD59;CD59,3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR
cg11983921,-0.28,9.80E-05,0.482,1.000,chr17,73689498,SAP30BP;SAP30BP;SAP30BP;SAP30BP;SAP30BP,Body;Body;Body;Body;Body
cg00866399,-0.34,9.85E-05,0.482,1.000,chr2,73148052,EMX1,Body
cg07738234,-0.35,9.96E-05,0.482,1.000,chr6,117593953,VGLL2;VGLL2,3'UTR;3'UTR
cg16612072,-0.34,1.00E-04,0.482,1.000,chr3,53380856,DCP1A,Body
cg24377694,-0.36,1.00E-04,0.482,1.000,chr20,1975372,PDYN,TSS1500
cg10632894,-1.41,1.01E-04,0.482,1.000,chr6,32552453,HLA-DRB1,Body
cg04204356,0.60,1.01E-04,0.482,1.000,chr14,70690704,,
cg13793687,-0.23,1.03E-04,0.487,1.000,chr12,97677220,,
cg12159863,0.27,1.05E-04,0.487,1.000,chr1,154196206,UBAP2L;UBAP2L;UBAP2L;UBAP2L,5'UTR;5'UTR;5'UTR;5'UTR
cg11318433,-0.26,1.05E-04,0.487,1.000,chr5,140303405,PCDHA1;PCDHA1;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA6;PCDHA7;PCDHA8;PCDHA9;PCDHA10;PCDHA10;PCDHA11;PCDHA12;PCDHA13,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body
cg04178825,-0.15,1.05E-04,0.487,1.000,chr2,24703239,,
cg05427612,0.15,1.06E-04,0.487,1.000,chr7,36357929,,
cg11469098,1.18,1.07E-04,0.487,1.000,chr8,49647809,EFCAB1;EFCAB1;EFCAB1;EFCAB1;EFCAB1,5'UTR;5'UTR;1stExon;1stExon;Body
cg00360610,-0.23,1.07E-04,0.487,1.000,chr2,96970381,SNRNP200,Body
cg09168548,0.40,1.09E-04,0.491,1.000,chr1,32226684,BAI2,5'UTR
cg21323441,-0.47,1.09E-04,0.491,1.000,chr15,28344349,OCA2,5'UTR
cg12607945,0.30,1.10E-04,0.493,1.000,chr2,169347230,CERS6;CERS6,Body;Body
cg12821710,-0.22,1.11E-04,0.493,1.000,chr7,36337031,EEPD1,Body
cg14290722,-0.37,1.11E-04,0.493,1.000,chr12,58166823,METTL1;METTL1;METTL21B;METTL21B,TSS1500;TSS1500;Body;Body
cg13344386,-0.24,1.13E-04,0.496,1.000,chr5,62697698,,
cg00717648,-0.71,1.14E-04,0.497,1.000,chr5,43041489,LOC648987;ANXA2R;LOC153684,Body;TSS1500;TSS1500
cg22962041,0.15,1.15E-04,0.497,1.000,chr17,49235043,NME1-NME2;NME1;NME1,Body;Body;Body
cg18264687,0.41,1.15E-04,0.497,1.000,chr9,20622357,MLLT3;MLLT3,5'UTR;1stExon
cg18321423,0.15,1.15E-04,0.497,1.000,chr7,133084947,EXOC4;EXOC4,Body;Body
cg03334357,-0.36,1.17E-04,0.500,1.000,chr2,152364588,NEB;NEB;NEB;NEB,Body;Body;Body;Body
cg10687936,0.15,1.19E-04,0.503,1.000,chr3,125085322,ZNF148,5'UTR
cg24168538,0.55,1.21E-04,0.503,1.000,chr4,35527016,,
cg02828164,0.26,1.24E-04,0.503,1.000,chr17,58584471,APPBP2;APPBP2,Body;Body
cg12818067,0.20,1.24E-04,0.503,1.000,chr11,33037624,DEPDC7;DEPDC7,TSS200;Body
cg16784825,0.40,1.24E-04,0.503,1.000,chr9,35080149,FANCG,TSS200
cg02065690,-0.43,1.26E-04,0.503,1.000,chr3,172278446,,
cg04070995,-0.23,1.26E-04,0.503,1.000,chr10,100227617,HPSE2;HPSE2;HPSE2;HPSE2,Body;Body;Body;Body
cg10729167,0.65,1.27E-04,0.503,1.000,chr10,111220101,,
cg17423111,-0.23,1.29E-04,0.503,1.000,chr12,48774756,,
cg16395282,-1.06,1.29E-04,0.503,1.000,chr1,45997007,,
cg03766946,-0.82,1.31E-04,0.503,1.000,chr21,47563650,FTCD;FTCD,Body;Body
cg06212046,-0.56,1.31E-04,0.503,1.000,chr19,17530679,MVB12A;MVB12A;MVB12A,5'UTR;5'UTR;1stExon
cg17468773,-0.37,1.31E-04,0.503,1.000,chr8,143591568,BAI1,Body
cg24031597,-0.20,1.32E-04,0.503,1.000,chr21,46846381,NCRNA00175;NCRNA00175;COL18A1,TSS1500;TSS1500;Body
cg04332661,0.21,1.32E-04,0.503,1.000,chr6,90572377,CASP8AP2;CASP8AP2;CASP8AP2,Body;Body;Body
cg01635193,0.19,1.33E-04,0.503,1.000,chr17,42092472,TMEM101,TSS200
cg10709494,0.76,1.33E-04,0.503,1.000,chr1,115323130,SIKE1;SIKE1,1stExon;1stExon
cg14372570,0.24,1.34E-04,0.503,1.000,chr9,138362504,,
cg14215256,-0.24,1.34E-04,0.503,1.000,chr20,42695073,TOX2;TOX2;TOX2;TOX2,Body;Body;Body;Body
cg03772909,0.44,1.35E-04,0.503,1.000,chr3,138725311,PRR23A,TSS1500
cg11782830,0.16,1.35E-04,0.503,1.000,chr13,100154264,TM9SF2,Body
cg03490564,0.28,1.36E-04,0.503,1.000,chr2,112811719,TMEM87B,TSS1500
cg06355652,-0.43,1.37E-04,0.503,1.000,chr11,33725105,CD59;CD59;CD59;CD59;CD59;CD59;CD59;CD59,3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR
cg10295800,0.36,1.37E-04,0.503,1.000,chr10,60145091,TFAM,TSS200
cg05876918,0.21,1.38E-04,0.503,1.000,chr12,57985234,PIP4K2C;PIP4K2C;PIP4K2C;PIP4K2C,1stExon;1stExon;1stExon;1stExon
cg12266953,0.17,1.39E-04,0.503,1.000,chr2,20866261,GDF7,TSS200
cg18367720,-0.22,1.39E-04,0.503,1.000,chr12,27707079,PPFIBP1;PPFIBP1;PPFIBP1;PPFIBP1,5'UTR;5'UTR;5'UTR;5'UTR
cg26197117,-0.54,1.40E-04,0.503,1.000,chr6,110797233,SLC22A16,Body
cg05086975,0.21,1.40E-04,0.503,1.000,chr17,48945232,,
cg18277960,0.13,1.40E-04,0.503,1.000,chr14,70233819,SFRS5;SFRS5;LOC100289511,TSS200;TSS200;Body
cg16166160,-0.35,1.40E-04,0.503,1.000,chr6,108479144,,
cg15505412,0.31,1.41E-04,0.503,1.000,chr5,3596996,IRX1,Body
cg02872426,-0.42,1.41E-04,0.503,1.000,chr6,110736772,DDO;DDO,TSS200;TSS200
cg11189251,-0.28,1.41E-04,0.503,1.000,chr3,61548332,PTPRG,Body
cg25881591,-0.29,1.41E-04,0.503,1.000,chr11,131779935,NTM;NTM;NTM;NTM,TSS1500;TSS1500;TSS1500;Body
cg19170881,-0.31,1.43E-04,0.506,1.000,chr7,101129980,EMID2,Body
cg18129228,-0.22,1.44E-04,0.508,1.000,chr8,27422271,,
cg12298429,0.32,1.48E-04,0.516,1.000,chr1,239883464,CHRM3-AS2;CHRM3,TSS1500;5'UTR
cg24127310,0.72,1.48E-04,0.516,1.000,chr10,102502104,,
cg03142458,0.33,1.50E-04,0.516,1.000,chr1,204476256,,
cg08295211,-0.37,1.50E-04,0.516,1.000,chr20,20036632,CRNKL1;CRNKL1;CFAP61;CFAP61;CRNKL1;CRNKL1;CRNKL1;CRNKL1,5'UTR;5'UTR;5'UTR;TSS1500;1stExon;1stExon;1stExon;1stExon
cg17978472,0.20,1.50E-04,0.516,1.000,chr3,114146603,ZBTB20;ZBTB20;ZBTB20;ZBTB20;ZBTB20;ZBTB20;ZBTB20,Body;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR
cg08003662,0.11,1.51E-04,0.516,1.000,chr19,18284583,IFI30,TSS200
cg01104251,0.15,1.52E-04,0.516,1.000,chr12,7372439,,
cg06017677,0.22,1.54E-04,0.516,1.000,chr12,123236875,DENR,TSS1500
cg08093099,-0.31,1.54E-04,0.516,1.000,chr5,173765406,LINC01411,Body
cg04884062,-0.21,1.55E-04,0.516,1.000,chr12,121199508,,
cg04214242,-0.35,1.56E-04,0.516,1.000,chr11,78290137,,
cg22181600,-0.26,1.56E-04,0.516,1.000,chr16,82363197,,
cg24136937,0.16,1.57E-04,0.516,1.000,chr7,1012013,COX19,Body
cg27529000,0.17,1.57E-04,0.516,1.000,chr17,35062849,,
cg06593050,-0.50,1.60E-04,0.516,1.000,chr4,144480206,LOC441046,TSS1500
cg18842310,-0.20,1.60E-04,0.516,1.000,chr13,113627484,MCF2L,Body
cg05415408,0.20,1.61E-04,0.516,1.000,chr7,30410993,DKFZP586I1420,Body
cg07241568,-0.43,1.61E-04,0.516,1.000,chr9,136150823,ABO,TSS200
cg15754901,0.17,1.61E-04,0.516,1.000,chr17,5402972,LOC728392,3'UTR
cg23926743,0.25,1.62E-04,0.516,1.000,chr7,97361021,TAC1;TAC1;TAC1;TAC1,TSS1500;TSS1500;TSS1500;TSS1500
cg20511489,0.24,1.63E-04,0.516,1.000,chr15,80724053,ARNT2,Body
cg01778974,0.16,1.63E-04,0.516,1.000,chr15,57387422,TCF12;TCF12;TCF12;TCF12,Body;Body;Body;Body
cg22746789,0.22,1.64E-04,0.516,1.000,chr19,2579221,GNG7,5'UTR
cg21530945,-0.29,1.65E-04,0.516,1.000,chr21,44498010,,
cg08007405,0.15,1.65E-04,0.516,1.000,chr15,64331811,DAPK2,Body
cg10953540,-0.55,1.67E-04,0.516,1.000,chr1,68919188,,
cg03030460,0.23,1.68E-04,0.516,1.000,chr2,96905526,LOC285033,TSS1500
cg12884046,-0.87,1.68E-04,0.516,1.000,chr2,28974697,PPP1CB;PPP1CB;PPP1CB,5'UTR;5'UTR;1stExon
cg23193712,0.17,1.68E-04,0.516,1.000,chr1,150781813,CTSK,TSS1500
cg14789121,-0.19,1.69E-04,0.516,1.000,chr3,13675521,FBLN2;FBLN2;FBLN2,Body;Body;Body
cg21245719,0.33,1.70E-04,0.516,1.000,chr10,18528142,CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2,Body;Body;Body;Body;Body;Body
cg03630832,0.23,1.70E-04,0.516,1.000,chr16,62443059,,
cg12372788,-0.21,1.71E-04,0.516,1.000,chr12,53894673,TARBP2;TARBP2;TARBP2;MAP3K12,TSS1500;TSS200;TSS200;TSS1500
cg04816979,0.18,1.71E-04,0.516,1.000,chr12,133657679,ZNF140,5'UTR
cg24840544,-0.22,1.71E-04,0.516,1.000,chr3,66812108,,
cg24545508,0.21,1.73E-04,0.516,1.000,chr13,42846971,AKAP11,5'UTR
cg11099300,-0.22,1.73E-04,0.516,1.000,chr7,40873560,SUGCT;SUGCT;SUGCT;SUGCT,Body;Body;Body;Body
cg13651302,-0.24,1.74E-04,0.516,1.000,chr1,233275719,PCNXL2,Body
cg26132097,0.20,1.75E-04,0.516,1.000,chr1,2145655,FAAP20,TSS1500
cg17649445,-0.39,1.75E-04,0.516,1.000,chr5,173397343,,
cg13422850,-0.59,1.75E-04,0.516,1.000,chr9,135116388,NTNG2,Body
cg01686767,0.36,1.77E-04,0.516,1.000,chr3,183873645,DVL3,Body
cg15047833,-0.25,1.78E-04,0.516,1.000,chr16,57496411,POLR2C,TSS200
cg20981000,0.30,1.78E-04,0.516,1.000,chr13,25791388,,
cg13367381,0.11,1.79E-04,0.516,1.000,chr19,34919148,UBA2,TSS200
cg21821990,-0.48,1.79E-04,0.516,1.000,chr11,64795449,SNX15;SNX15,Body;Body
cg05012551,0.53,1.79E-04,0.516,1.000,chr19,44716634,ZNF227,TSS200
cg11585643,0.14,1.80E-04,0.516,1.000,chr1,112999420,CTTNBP2NL,Body
cg27653831,-0.49,1.81E-04,0.516,1.000,chr16,67700515,C16orf86;C16orf48;C16orf48,TSS1500;5'UTR;1stExon
cg02620977,0.29,1.81E-04,0.516,1.000,chr20,23084096,,
cg01855636,-0.24,1.82E-04,0.516,1.000,chr18,47722806,MYO5B,TSS1500
cg07396419,-0.22,1.82E-04,0.516,1.000,chr13,73280916,,
cg05717754,-0.19,1.84E-04,0.518,1.000,chr14,70329717,,
cg25891355,0.36,1.84E-04,0.518,1.000,chr13,58205111,PCDH17,TSS1500
cg01638151,-0.23,1.87E-04,0.522,1.000,chr17,20207915,SPECC1;SPECC1;SPECC1,Body;Body;Body
cg23962380,0.20,1.88E-04,0.523,1.000,chr3,101443264,CEP97,TSS1500
cg12497374,0.27,1.88E-04,0.523,1.000,chr3,14339534,,
cg20064778,-1.16,1.90E-04,0.526,1.000,chr22,24384315,GSTT1,TSS200
cg09613494,0.12,1.91E-04,0.526,1.000,chr21,44846625,SIK1,5'UTR
cg12834443,0.14,1.93E-04,0.527,1.000,chr6,41675635,TFEB;TFEB;TFEB;TFEB;TFEB,Body;5'UTR;5'UTR;5'UTR;5'UTR
cg16837016,-0.38,1.94E-04,0.527,1.000,chr1,40153746,HPCAL4;HPCAL4;HPCAL4,5'UTR;5'UTR;5'UTR
cg18815765,0.38,1.96E-04,0.527,1.000,chr17,75136729,SEC14L1;SEC14L1;SEC14L1;SEC14L1,TSS1500;TSS1500;TSS1500;TSS1500
