"Excel Table 6: Differentially variable positions (p < 0.05) within the Chile buccal cell study. Models adjusted for sex, age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg05746608,-0.36,8.61E-05,0.512,1.000,chr14,50698469,SOS2,TSS1500
cg16102102,-0.71,8.62E-05,0.512,1.000,chr5,83017553,HAPLN1,TSS1500
cg09834465,0.53,8.66E-05,0.512,1.000,chr1,35586503,,
cg07060872,-0.53,8.73E-05,0.512,1.000,chr2,191418308,,
cg16267343,-0.37,9.25E-05,0.531,1.000,chr5,32710456,NPR3,TSS1500
cg25102343,-0.29,9.27E-05,0.531,1.000,chr5,31532116,RNASEN;RNASEN;C5orf22;RNASEN;RNASEN,5'UTR;1stExon;TSS1500;1stExon;5'UTR
cg07208467,-0.26,9.29E-05,0.531,1.000,chr1,157154442,,
cg05562327,-0.43,9.41E-05,0.532,1.000,chr4,15005910,CPEB2;CPEB2,1stExon;1stExon
cg27582739,-0.23,9.45E-05,0.532,1.000,chr11,112833058,NCAM1;NCAM1;NCAM1,Body;Body;Body
cg27592542,0.34,9.52E-05,0.532,1.000,chr7,151819534,,
cg04653522,-0.54,9.67E-05,0.534,1.000,chr11,87908631,RAB38,TSS200
cg10729167,0.38,9.77E-05,0.534,1.000,chr10,111220101,,
cg18105279,0.79,9.78E-05,0.534,1.000,chr1,169570610,SELP,Body
cg21313067,-0.21,1.01E-04,0.537,1.000,chr8,139164698,FAM135B,Body
cg00423771,-0.68,1.01E-04,0.537,1.000,chr6,150207241,RAET1E-AS1;RAET1E,Body;Body
cg22574825,-0.44,1.01E-04,0.537,1.000,chr13,29068987,FLT1;FLT1;FLT1;FLT1;FLT1;FLT1;FLT1;FLT1,1stExon;5'UTR;1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR
cg26731190,0.34,1.01E-04,0.537,1.000,chr7,82791318,PCLO;PCLO,Body;Body
cg24570431,0.66,1.04E-04,0.547,1.000,chr10,7729440,,
cg07136602,-0.67,1.06E-04,0.547,1.000,chr6,3844175,,
cg05306860,0.72,1.06E-04,0.547,1.000,chr17,18150799,FLII;FLII;FLII,Body;Body;Body
cg07258009,-0.41,1.07E-04,0.547,1.000,chr2,45166105,,
cg13658542,0.39,1.07E-04,0.547,1.000,chr4,187645059,FAT1,TSS200
cg12754421,0.46,1.09E-04,0.548,1.000,chr11,105480790,GRIA4;GRIA4;GRIA4;GRIA4,TSS200;TSS200;TSS200;TSS1500
cg13769477,-0.59,1.09E-04,0.548,1.000,chr19,46144780,EML2-AS1;EML2-AS1;EML2;EML2,Body;Body;Body;Body
cg19939555,-0.54,1.10E-04,0.548,1.000,chr1,153931149,CRTC2,TSS200
cg20140110,-0.41,1.11E-04,0.548,1.000,chr12,29936845,TMTC1,5'UTR
cg21921619,-0.26,1.12E-04,0.548,1.000,chr10,116852791,ATRNL1,TSS1500
cg06609882,-0.24,1.12E-04,0.548,1.000,chr14,21457873,METT11D1;METT11D1,TSS200;TSS200
cg20745448,1.59,1.13E-04,0.548,1.000,chr9,98271049,PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1,TSS1500;Body;Body;TSS1500;TSS1500;TSS1500
cg03908534,0.42,1.13E-04,0.548,1.000,chr4,41219082,,
cg15766075,-0.59,1.14E-04,0.548,1.000,chr2,241497417,ANKMY1;ANKMY1,TSS200;TSS200
cg00068155,0.45,1.14E-04,0.548,1.000,chr3,131754131,CPNE4,TSS1500
cg23271752,-0.36,1.18E-04,0.549,1.000,chr6,107150497,,
cg24440593,-0.25,1.18E-04,0.549,1.000,chr3,161090285,C3orf57,TSS1500
cg10834805,-0.57,1.18E-04,0.549,1.000,chr21,46673350,,
cg18591107,-0.39,1.19E-04,0.549,1.000,chr7,96635525,DLX6AS;DLX6,Body;Body
cg02671126,-0.47,1.19E-04,0.549,1.000,chr9,34701735,,
cg19409920,-0.55,1.20E-04,0.549,1.000,chr2,240877826,,
cg22501294,-0.49,1.20E-04,0.549,1.000,chr18,48557509,SMAD4,5'UTR
cg15656623,-0.36,1.21E-04,0.549,1.000,chr22,43253145,ARFGAP3;ARFGAP3,1stExon;1stExon
cg15082992,0.72,1.21E-04,0.549,1.000,chr17,81057757,,
cg07037116,-0.24,1.24E-04,0.556,1.000,chr1,112446798,KCND3;KCND3,Body;Body
cg05084668,-0.84,1.24E-04,0.556,1.000,chr3,125655381,ALG1L,5'UTR
cg15405432,0.53,1.28E-04,0.567,1.000,chr5,126409310,FLJ44606;FLJ44606,TSS200;TSS200
cg15825127,-0.62,1.29E-04,0.567,1.000,chr1,1957073,GABRD,Body
cg10104451,0.48,1.34E-04,0.586,1.000,chr8,143696006,ARC,TSS200
cg05039463,-0.42,1.40E-04,0.606,1.000,chr14,91282525,TTC7B,1stExon
cg24175649,-0.41,1.40E-04,0.606,1.000,chr3,124304161,KALRN;KALRN,Body;Body
cg10546252,-1.21,1.41E-04,0.606,1.000,chr22,24384294,GSTT1,TSS200
cg12536451,-0.24,1.43E-04,0.606,1.000,chr10,99496852,ZFYVE27;ZFYVE27;ZFYVE27,TSS200;TSS200;TSS200
cg01921583,0.20,1.43E-04,0.606,1.000,chr11,6940851,OR2D3,TSS1500
cg17666974,-0.50,1.44E-04,0.606,1.000,chr17,5404321,LOC728392,TSS200
cg10318641,-0.39,1.44E-04,0.606,1.000,chr11,130116833,ZBTB44,Body
cg03077073,-0.21,1.46E-04,0.610,1.000,chr20,44462735,SNX21;SNX21;SNX21;SNX21,Body;Body;Body;Body
cg24754507,-0.13,1.47E-04,0.610,1.000,chr6,28481862,GPX6,Body
cg22592867,0.40,1.48E-04,0.610,1.000,chr3,126710244,PLXNA1,Body
cg10464312,-0.32,1.49E-04,0.610,1.000,chr2,66672688,MEIS1,Body
cg07502389,-0.45,1.49E-04,0.610,1.000,chr8,24771259,NEFM;NEFM,TSS200;TSS1500
cg08892464,-0.59,1.52E-04,0.617,1.000,chr1,16176383,SPEN,Body
cg00209520,-0.39,1.53E-04,0.617,1.000,chr2,98962546,CNGA3;CNGA3,TSS200;TSS200
cg21100291,0.49,1.54E-04,0.617,1.000,chr1,241587612,,
cg07917894,0.16,1.55E-04,0.617,1.000,chr8,95703079,ESRP1;ESRP1;ESRP1;ESRP1;ESRP1,Body;Body;Body;Body;Body
cg05242494,0.36,1.58E-04,0.617,1.000,chr16,88575349,ZFPM1,Body
cg26493532,-0.25,1.58E-04,0.617,1.000,chr18,55254078,FECH;FECH,TSS200;TSS200
cg25012023,0.14,1.58E-04,0.617,1.000,chr17,80990714,B3GNTL1,Body
cg08260763,0.60,1.60E-04,0.617,1.000,chr16,8891593,PMM2;TMEM186,TSS200;TSS200
cg20716104,0.41,1.60E-04,0.617,1.000,chr7,75452232,,
cg16796136,0.22,1.61E-04,0.617,1.000,chr16,5065537,SEC14L5,3'UTR
cg04223793,-0.19,1.61E-04,0.617,1.000,chr16,85403580,,
cg13570831,-0.41,1.62E-04,0.617,1.000,chr1,239550303,,
cg02095624,-0.18,1.63E-04,0.617,1.000,chr10,5203269,AKR1C8P,Body
cg27361636,-0.27,1.63E-04,0.617,1.000,chr12,120502417,CCDC64,Body
cg05785585,0.40,1.63E-04,0.617,1.000,chr6,108613446,,
cg14618996,0.45,1.65E-04,0.620,1.000,chr8,38964944,ADAM32,TSS200
cg22724863,0.23,1.71E-04,0.637,1.000,chr15,49073851,CEP152;CEP152,Body;Body
cg18745406,-0.24,1.72E-04,0.640,1.000,chr8,134309938,NDRG1;NDRG1,TSS1500;TSS1500
cg06990080,0.13,1.73E-04,0.641,1.000,chr2,207802453,,
cg20443838,-0.48,1.75E-04,0.642,1.000,chr3,196729602,MFI2;MFI2-AS1,3'UTR;TSS200
cg22614120,-0.31,1.75E-04,0.642,1.000,chr19,41872285,TMEM91,5'UTR
cg15626522,-0.29,1.78E-04,0.647,1.000,chr10,103893837,PPRC1;PPRC1;PPRC1,5'UTR;Body;Body
cg13426839,-0.18,1.81E-04,0.652,1.000,chr19,539489,CDC34,Body
cg16397746,-0.26,1.81E-04,0.652,1.000,chr13,98092033,RAP2A,Body
cg22464169,0.39,1.83E-04,0.652,1.000,chr19,14062697,PODNL1;DCAF15;PODNL1,Body;TSS1500;Body
cg16477682,0.41,1.83E-04,0.652,1.000,chr17,80111656,CCDC57,Body
cg19364351,0.50,1.83E-04,0.652,1.000,chr11,6291879,CCKBR,Body
cg14614539,1.02,1.86E-04,0.657,1.000,chr6,32170458,NOTCH4,Body
cg01559158,-0.24,1.88E-04,0.658,1.000,chr2,242577181,THAP4;ATG4B;ATG4B,TSS1500;Body;Body
cg19922558,0.45,1.89E-04,0.658,1.000,chr2,211950311,,
cg22042896,-0.39,1.89E-04,0.658,1.000,chr15,99057957,FAM169B,TSS1500
cg01936124,0.88,1.90E-04,0.658,1.000,chr5,137878512,ETF1,Body
cg22524822,-0.43,1.91E-04,0.659,1.000,chr3,126911830,C3orf56,TSS200
cg04307776,-0.55,1.92E-04,0.659,1.000,chr5,76652757,PDE8B;PDE8B;PDE8B;PDE8B;PDE8B,Body;Body;Body;Body;Body
cg17718036,-0.20,1.93E-04,0.659,1.000,chr6,27219983,PRSS16,Body
cg04533667,-0.15,1.95E-04,0.663,1.000,chr5,10332400,,
cg15616496,-0.45,1.96E-04,0.664,1.000,chr17,73860607,,
cg24127310,0.65,2.02E-04,0.680,1.000,chr10,102502104,,
cg21312582,0.20,2.04E-04,0.680,1.000,chr21,30432900,CCT8;CCT8;CCT8;CCT8,Body;Body;Body;Body
cg24715767,0.39,2.06E-04,0.680,1.000,chr1,14136518,PRDM2;PRDM2,Body;Body
cg22538992,-0.39,2.07E-04,0.680,1.000,chr1,95426084,LOC729970,Body
cg09030826,-0.52,2.07E-04,0.680,1.000,chr5,81121345,,
cg08530064,-0.40,2.08E-04,0.680,1.000,chr7,150598393,,
cg06829681,-3.18,2.09E-04,0.680,1.000,chr11,12867453,TEAD1,Body
cg11709110,-0.37,2.09E-04,0.680,1.000,chr19,1989583,BTBD2,Body
cg13661740,0.35,2.09E-04,0.680,1.000,chr9,79635912,,
cg02012933,-0.35,2.10E-04,0.681,1.000,chr3,187990265,LPP;LPP;LPP,5'UTR;5'UTR;5'UTR
cg18063486,-0.49,2.11E-04,0.681,1.000,chr4,1512966,,
cg23409374,-0.42,2.13E-04,0.681,1.000,chr19,49934742,SLC17A7,Body
cg19106968,-0.51,2.14E-04,0.681,1.000,chr2,135149666,MGAT5,Body
cg17788418,0.45,2.15E-04,0.681,1.000,chr2,176994376,HOXD8;HOXD8;HOXD8,TSS200;TSS200;TSS200
cg15342214,0.54,2.15E-04,0.681,1.000,chr1,22231571,HSPG2;HSPG2,Body;Body
cg21827892,-0.44,2.16E-04,0.681,1.000,chr19,33361043,SLC7A9;SLC7A9;SLC7A9,TSS1500;TSS1500;TSS1500
cg19558236,-0.12,2.17E-04,0.681,1.000,chr6,32163587,GPSM3;NOTCH4,TSS1500;Body
cg09080909,-0.57,2.18E-04,0.681,1.000,chr16,1797204,MAPK8IP3;MAPK8IP3,Body;Body
cg08474478,0.60,2.19E-04,0.682,1.000,chr4,184961323,,
cg07104417,-0.69,2.21E-04,0.685,1.000,chr11,69259247,,
cg14577946,-0.43,2.23E-04,0.687,1.000,chr14,21737003,HNRNPC;HNRNPC;HNRNPC;HNRNPC,5'UTR;5'UTR;5'UTR;5'UTR
cg21877939,-0.21,2.23E-04,0.687,1.000,chr3,139062845,MRPS22,TSS200
cg10459672,0.46,2.24E-04,0.687,1.000,chr6,31409481,,
cg06034792,-0.43,2.25E-04,0.687,1.000,chr15,65068554,RBPMS2,TSS1500
cg13844804,-0.17,2.28E-04,0.690,1.000,chr7,814759,HEATR2,Body
cg09163369,0.68,2.28E-04,0.690,1.000,chr1,210001066,C1orf107,TSS1500
cg03475666,-0.23,2.29E-04,0.690,1.000,chr9,78922160,PCSK5,Body
cg20801110,-0.29,2.32E-04,0.690,1.000,chr15,75136007,ULK3,TSS1500
cg13180539,-0.18,2.33E-04,0.690,1.000,chr5,172822463,,
cg18113786,-0.45,2.33E-04,0.690,1.000,chr22,50757546,DENND6B,Body
cg01561916,-0.22,2.34E-04,0.690,1.000,chr2,43020169,HAAO,TSS1500
cg24327375,-0.35,2.34E-04,0.690,1.000,chr5,158871682,,
cg27230784,-0.52,2.35E-04,0.690,1.000,chr17,5404337,LOC728392;LOC728392,1stExon;5'UTR
cg26133769,-0.29,2.37E-04,0.693,1.000,chr4,30723855,PCDH7;PCDH7;PCDH7,1stExon;Body;1stExon
cg18928683,0.13,2.38E-04,0.693,1.000,chr6,32146006,AGPAT1;RNF5P1;RNF5,TSS200;TSS1500;TSS200
cg10048986,-0.47,2.40E-04,0.693,1.000,chr12,49631720,,
cg19584864,-0.30,2.41E-04,0.693,1.000,chr3,150127772,TSC22D2,1stExon
cg01578996,-0.16,2.43E-04,0.693,1.000,chr19,57752011,ZNF805;ZNF805,TSS200;TSS200
cg27438798,0.17,2.44E-04,0.693,1.000,chr4,13546151,NKX3-2,TSS200
cg02401926,-0.31,2.44E-04,0.693,1.000,chr11,118800517,,
cg10872186,-0.43,2.48E-04,0.693,1.000,chr21,23233481,,
cg26515186,-1.03,2.49E-04,0.693,1.000,chr1,26855926,RPS6KA1,TSS1500
cg20422120,0.21,2.50E-04,0.693,1.000,chr10,1088372,IDI1;IDI2-AS1;IDI2-AS1;IDI2-AS1;IDI2-AS1,Body;Body;Body;Body;Body
cg12677727,-0.79,2.50E-04,0.693,1.000,chr12,127568105,,
cg14992287,0.24,2.50E-04,0.693,1.000,chr3,122693230,SEMA5B;SEMA5B;SEMA5B;SEMA5B;SEMA5B,Body;Body;5'UTR;5'UTR;5'UTR
cg25141766,0.45,2.51E-04,0.693,1.000,chr17,79826316,ARHGDIA,3'UTR
cg02287918,0.28,2.52E-04,0.693,1.000,chr21,30396957,USP16;USP16;USP16;USP16;USP16;USP16,5'UTR;5'UTR;5'UTR;1stExon;1stExon;1stExon
cg09178190,0.28,2.52E-04,0.693,1.000,chr5,140529580,PCDHB6,TSS1500
cg02117828,-0.17,2.52E-04,0.693,1.000,chr19,13261202,IER2;STX10;STX10;STX10;STX10,TSS200;TSS200;TSS200;TSS200;TSS200
cg03693012,0.19,2.52E-04,0.693,1.000,chr10,95715050,,
cg26730543,-0.53,2.53E-04,0.693,1.000,chr6,30039600,RNF39;RNF39,Body;Body
cg20823215,0.35,2.54E-04,0.693,1.000,chr11,77402647,RSF1,Body
cg25922341,-0.67,2.55E-04,0.695,1.000,chr8,122654566,HAS2;HAS2AS,TSS1500;Body
cg22428102,-0.28,2.58E-04,0.697,1.000,chr4,184020710,WWC2;C4orf38,1stExon;TSS1500
cg15507320,-0.28,2.58E-04,0.697,1.000,chr17,3514356,SHPK,Body
cg01125214,-0.27,2.61E-04,0.697,1.000,chr2,236888769,AGAP1;AGAP1,Body;Body
cg05079715,-0.14,2.63E-04,0.697,1.000,chr7,132079417,PLXNA4;PLXNA4,Body;Body
cg25730685,-0.84,2.63E-04,0.697,1.000,chr1,2375010,,
cg02405213,0.94,2.64E-04,0.697,1.000,chr9,5042618,JAK2,Body
cg14495832,-0.27,2.66E-04,0.697,1.000,chr17,17583321,RAI1,TSS1500
