"Excel Table 7: Differentially variable positions (p < 0.05) within the Bangladesh 450K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg04870470,-0.51,1.77E-04,1.000,1.00,chr1,101359714,EXTL2;EXTL2,5'UTR;5'UTR
cg22993554,-0.75,1.80E-04,1.000,1.00,chr8,18698050,PSD3,Body
cg06452451,0.18,1.82E-04,1.000,1.00,chr5,74062824,NSA2;GFM2;GFM2;GFM2;GFM2;GFM2;GFM2,TSS1500;1stExon;5'UTR;1stExon;1stExon;5'UTR;5'UTR
cg11191302,0.28,1.85E-04,1.000,1.00,chr1,215950212,USH2A,Body
cg09321614,-0.16,1.87E-04,1.000,1.00,chr16,31885091,ZNF267;ZNF267,5'UTR;1stExon
cg20824109,0.19,1.93E-04,1.000,1.00,chr16,30886837,,
cg17968795,0.31,1.98E-04,1.000,1.00,chr2,99553406,C2orf55,TSS1500
cg26863200,-0.46,2.12E-04,1.000,1.00,chr6,167188846,RPS6KA2,Body
cg05871614,0.18,2.13E-04,1.000,1.00,chr22,42078330,NHP2L1;NHP2L1,Body;Body
cg09343327,0.10,2.13E-04,1.000,1.00,chr16,20912245,LYRM1;DCUN1D3;LYRM1;LYRM1,5'UTR;TSS1500;5'UTR;5'UTR
cg15299510,0.20,2.18E-04,1.000,1.00,chr8,38628105,TACC1,5'UTR
cg06749524,0.46,2.24E-04,1.000,1.00,chr10,111152929,,
cg22508928,0.35,2.27E-04,1.000,1.00,chr1,10710134,CASZ1;CASZ1,Body;Body
cg19415736,0.16,2.27E-04,1.000,1.00,chr3,183167772,,
cg08583625,0.32,2.30E-04,1.000,1.00,chr8,107281036,OXR1,TSS1500
cg17279887,0.16,2.34E-04,1.000,1.00,chr7,97735625,LMTK2,TSS1500
cg26253974,0.25,2.36E-04,1.000,1.00,chr1,213030372,LQK1;FLVCR1;LQK1,Body;TSS1500;Body
cg23110422,0.20,2.39E-04,1.000,1.00,chr21,40182073,ETS2,Body
cg00651400,0.26,2.47E-04,1.000,1.00,chr6,3230007,,
cg18083863,0.16,2.49E-04,1.000,1.00,chr14,23772111,PPP1R3E,TSS200
cg21584052,0.25,2.50E-04,1.000,1.00,chr1,14149832,PRDM2;PRDM2,3'UTR;3'UTR
cg27283052,-0.15,2.55E-04,1.000,1.00,chr4,38666362,KLF3;FLJ13197,5'UTR;TSS200
cg25412641,0.19,2.55E-04,1.000,1.00,chr6,157877120,ZDHHC14;ZDHHC14,Body;Body
cg22876643,-0.15,2.56E-04,1.000,1.00,chr1,68962318,DEPDC1;DEPDC1,Body;Body
cg01714595,-0.14,2.62E-04,1.000,1.00,chr14,51818788,,
cg08600461,-0.68,2.66E-04,1.000,1.00,chr13,113580760,,
cg11327565,0.23,2.69E-04,1.000,1.00,chr15,90892795,GABARAPL3,TSS200
cg02372145,0.37,2.77E-04,1.000,1.00,chr8,23605543,,
cg19131736,-0.16,2.80E-04,1.000,1.00,chr7,1902888,MAD1L1;MAD1L1;MAD1L1,Body;Body;Body
cg27665767,0.22,2.81E-04,1.000,1.00,chr5,140764485,PCDHGA4;PCDHGA7;PCDHGA6;PCDHGA1;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGA7;PCDHGB3,Body;1stExon;Body;Body;Body;Body;Body;Body;Body;1stExon;Body
cg07747559,0.33,2.82E-04,1.000,1.00,chr4,76857252,NAAA;NAAA,Body;Body
cg18568653,0.18,2.83E-04,1.000,1.00,chr11,18035350,SERGEF,TSS1500
cg24353833,0.14,2.90E-04,1.000,1.00,chr6,30658612,NRM,Body
cg03144753,0.24,2.91E-04,1.000,1.00,chr3,28286464,CMC1,Body
cg04389275,0.16,2.94E-04,1.000,1.00,chr19,41770014,HNRNPUL1;HNRNPUL1,TSS200;5'UTR
cg13458253,0.23,2.98E-04,1.000,1.00,chr10,81937832,ANXA11;ANXA11;ANXA11,5'UTR;5'UTR;5'UTR
cg16945809,0.19,2.99E-04,1.000,1.00,chr11,117198453,CEP164,TSS200
cg10994149,-0.31,3.02E-04,1.000,1.00,chr5,43037123,,
cg08028295,0.27,3.06E-04,1.000,1.00,chr11,64612633,CDC42BPG,TSS1500
cg02996181,0.10,3.07E-04,1.000,1.00,chr11,417643,SIGIRR;SIGIRR,TSS1500;TSS1500
cg01079098,-0.39,3.08E-04,1.000,1.00,chr11,11642360,GALNTL4,Body
cg19734801,-0.74,3.09E-04,1.000,1.00,chr5,131281112,,
cg23371016,0.33,3.13E-04,1.000,1.00,chr2,1565328,,
cg07672076,0.23,3.13E-04,1.000,1.00,chr10,76789460,MYST4,Body
cg18949415,0.13,3.23E-04,1.000,1.00,chr6,43969136,C6orf223,Body
cg10919522,0.25,3.23E-04,1.000,1.00,chr14,74227441,C14orf43;C14orf43,5'UTR;TSS1500
cg23400904,0.21,3.26E-04,1.000,1.00,chr2,70418872,C2orf42,TSS1500
cg20066496,-0.29,3.26E-04,1.000,1.00,chr15,43213993,TTBK2,TSS1500
cg03149567,-0.22,3.32E-04,1.000,1.00,chr10,134441442,INPP5A,Body
cg13731133,0.21,3.32E-04,1.000,1.00,chr22,30938073,,
cg18146737,0.27,3.34E-04,1.000,1.00,chr1,92946700,GFI1;GFI1;GFI1,Body;Body;Body
cg20739281,0.15,3.38E-04,1.000,1.00,chr1,2411240,PLCH2,Body
cg13797228,0.17,3.39E-04,1.000,1.00,chr3,126076243,KLF15,TSS200
cg23790220,-0.15,3.41E-04,1.000,1.00,chr6,75994771,TMEM30A;TMEM30A,TSS200;TSS200
cg20874210,0.33,3.44E-04,1.000,1.00,chr11,45716004,,
cg16947476,0.30,3.50E-04,1.000,1.00,chr9,35490191,RUSC2,5'UTR
cg02760818,0.17,3.51E-04,1.000,1.00,chr5,77298473,AP3B1,3'UTR
cg03797957,0.26,3.54E-04,1.000,1.00,chr11,57424401,CLP1;CLP1,TSS1500;TSS1500
cg20929407,0.15,3.60E-04,1.000,1.00,chr17,1375459,MYO1C;MYO1C;MYO1C,Body;Body;Body
cg10962056,0.23,3.65E-04,1.000,1.00,chr4,165034710,MARCH1,5'UTR
cg15717275,-0.15,3.65E-04,1.000,1.00,chr22,29598916,,
cg05130075,0.29,3.68E-04,1.000,1.00,chr14,55089473,SAMD4A;SAMD4A,Body;Body
cg20946277,-0.19,3.69E-04,1.000,1.00,chr16,77247012,,
cg15286044,0.25,3.71E-04,1.000,1.00,chr10,99789971,CRTAC1,Body
cg26501502,0.18,3.80E-04,1.000,1.00,chr11,66206489,MRPL11;MRPL11;MRPL11,TSS200;TSS200;TSS200
cg03333757,0.18,3.84E-04,1.000,1.00,chr19,58991841,ZNF446,Body
cg04802386,0.20,3.88E-04,1.000,1.00,chr4,103998345,NHEDC2,TSS200
cg19803952,0.13,3.98E-04,1.000,1.00,chr20,44036136,DBNDD2;DBNDD2;DBNDD2;DBNDD2;SYS1-DBNDD2;DBNDD2;DBNDD2,5'UTR;5'UTR;TSS1500;TSS1500;Body;5'UTR;5'UTR
cg14709691,0.51,3.98E-04,1.000,1.00,chr1,46632871,,
cg04005969,0.16,4.07E-04,1.000,1.00,chr19,51171247,SHANK1,Body
cg08800318,-0.43,4.08E-04,1.000,1.00,chr13,113104883,,
cg11435872,0.19,4.14E-04,1.000,1.00,chr11,45827475,SLC35C1;SLC35C1;SLC35C1,Body;Body;1stExon
cg24844815,0.27,4.14E-04,1.000,1.00,chr7,157130686,DNAJB6;DNAJB6,5'UTR;5'UTR
cg01118711,0.21,4.20E-04,1.000,1.00,chr7,70156755,AUTS2;AUTS2,Body;Body
cg03969957,0.14,4.26E-04,1.000,1.00,chr10,95462699,C10orf4,TSS1500
cg05001715,-0.25,4.26E-04,1.000,1.00,chr5,92956474,FAM172A;FAM172A;FAM172A;FAM172A;MIR2277,Body;3'UTR;3'UTR;3'UTR;Body
cg03846107,0.25,4.29E-04,1.000,1.00,chr12,34061681,,
cg05852040,-0.42,4.31E-04,1.000,1.00,chr7,77044873,PION,Body
cg08285768,0.14,4.32E-04,1.000,1.00,chr15,86038622,AKAP13;AKAP13,Body;Body
cg00506886,0.18,4.36E-04,1.000,1.00,chr19,38974350,RYR1;RYR1,Body;Body
cg05138918,0.26,4.37E-04,1.000,1.00,chr3,197225707,,
cg12915591,0.22,4.49E-04,1.000,1.00,chr11,43965360,LOC387763;LOC387763,1stExon;3'UTR
cg03631561,0.33,4.57E-04,1.000,1.00,chr11,57414626,YPEL4,5'UTR
cg03814957,-0.24,4.61E-04,1.000,1.00,chr5,149493099,CSF1R,TSS200
cg24793722,-0.19,4.66E-04,1.000,1.00,chr4,824416,,
cg04485956,0.33,4.66E-04,1.000,1.00,chr2,1859071,MYT1L,Body
cg09607679,0.20,4.70E-04,1.000,1.00,chr17,46035297,PRR15L,TSS200
cg20256260,0.21,4.71E-04,1.000,1.00,chr20,43936981,MATN4;RBPJL;MATN4;MATN4,TSS200;Body;TSS200;TSS200
cg16250402,0.25,4.71E-04,1.000,1.00,chr1,234796042,,
cg09920145,-0.13,4.72E-04,1.000,1.00,chr3,69100714,TMF1,Body
cg07351143,0.14,4.76E-04,1.000,1.00,chr10,22623910,,
cg22836359,-0.17,4.76E-04,1.000,1.00,chr12,6933548,GPR162;GPR162,Body;Body
cg13946520,0.39,4.78E-04,1.000,1.00,chr2,87017689,CD8A;CD8A;CD8A;CD8A,Body;Body;Body;Body
cg24454243,-0.23,4.81E-04,1.000,1.00,chr7,105221985,EFCAB10,TSS200
cg24436466,-0.18,4.83E-04,1.000,1.00,chr10,134978997,KNDC1,Body
cg02103895,-0.22,4.86E-04,1.000,1.00,chr6,127665881,ECHDC1;ECHDC1;ECHDC1;ECHDC1,TSS1500;TSS1500;TSS1500;TSS1500
cg09544641,0.14,4.91E-04,1.000,1.00,chr4,7043168,CCDC96,1stExon
cg26632416,0.11,4.92E-04,1.000,1.00,chr17,27086044,C17orf63;C17orf63,Body;Body
cg24720336,-0.25,4.94E-04,1.000,1.00,chr1,151170427,PIP5K1A;PIP5K1A;PIP5K1A;PIP5K1A,TSS1500;TSS1500;TSS1500;TSS1500
cg23526147,0.20,4.96E-04,1.000,1.00,chr19,13134813,NFIX,Body
cg09932636,0.27,4.96E-04,1.000,1.00,chr12,58329862,,
cg11421702,0.21,4.98E-04,1.000,1.00,chr13,73301012,C13orf37;C13orf34,Body;TSS1500
cg18793571,0.33,0.001,1.000,1.00,chr8,37634896,PROSC,Body
cg24874555,0.30,0.001,1.000,1.00,chr19,12832212,TNPO2;TNPO2;TNPO2,5'UTR;5'UTR;5'UTR
cg26422851,0.21,0.001,1.000,1.00,chr6,424272,,
cg17589056,0.21,0.001,1.000,1.00,chr13,72454090,,
cg05374044,0.25,0.001,1.000,1.00,chr8,19451024,CSGALNACT1;CSGALNACT1;CSGALNACT1,5'UTR;Body;5'UTR
cg17153568,0.19,0.001,1.000,1.00,chr2,175199315,SP9,TSS1500
cg07391498,-0.15,0.001,1.000,1.00,chr1,205290332,NUAK2,Body
cg04012535,0.17,0.001,1.000,1.00,chr1,37176647,,
cg09952620,0.13,0.001,1.000,1.00,chr19,13885098,C19orf53,TSS200
cg01053411,-0.60,0.001,1.000,1.00,chr12,12876595,,
cg12276513,0.25,0.001,1.000,1.00,chr1,6208879,CHD5,Body
cg13396080,-0.20,0.001,1.000,1.00,chr22,17592744,,
cg09070201,0.15,0.001,1.000,1.00,chr17,63049758,GNA13,Body
cg10301869,0.14,0.001,1.000,1.00,chr12,105151698,CHST11,3'UTR
cg18120790,0.13,0.001,1.000,1.00,chr15,31295058,TRPM1,Body
cg03597699,0.30,0.001,1.000,1.00,chr9,96709286,,
cg01454612,0.31,0.001,1.000,1.00,chr17,57693600,,
cg20124336,0.22,0.001,1.000,1.00,chr10,90164859,RNLS;RNLS,Body;Body
cg16339435,0.14,0.001,1.000,1.00,chr6,146285414,SHPRH;SHPRH,TSS200;TSS200
cg04797648,0.26,0.001,1.000,1.00,chr3,190580635,LOC647309,TSS200
cg14984210,-0.93,0.001,1.000,1.00,chr6,30560164,,
cg19797739,0.28,0.001,1.000,1.00,chr12,10102820,,
cg17665699,0.25,0.001,1.000,1.00,chr17,19771612,ULK2;ULK2,TSS1500;TSS1500
cg02445720,0.18,0.001,1.000,1.00,chr20,23587284,CST9,TSS1500
cg08894685,-0.14,0.001,1.000,1.00,chr12,123718369,C12orf65;C12orf65;C12orf65,1stExon;5'UTR;5'UTR
cg02262221,0.19,0.001,1.000,1.00,chr4,91047852,FAM190A,TSS1500
cg16912150,-0.14,0.001,1.000,1.00,chr2,176962220,,
cg17913068,-0.16,0.001,1.000,1.00,chr11,70116114,PPFIA1;PPFIA1,TSS1500;TSS1500
cg26852404,0.25,0.001,1.000,1.00,chr2,3640456,,
cg11209892,0.26,0.001,1.000,1.00,chr7,128695548,LOC286016;TNPO3,Body;TSS1500
cg17476223,0.25,0.001,1.000,1.00,chr4,77663285,SHROOM3,Body
cg14470895,0.19,0.001,1.000,1.00,chr5,115152431,CDO1,TSS200
cg09225162,0.25,0.001,1.000,1.00,chr15,56757806,MNS1,TSS1500
cg01428231,0.21,0.001,1.000,1.00,chr12,17955920,,
cg26309691,-0.27,0.001,1.000,1.00,chr1,246887944,SCCPDH,Body
cg25631746,-0.21,0.001,1.000,1.00,chr19,4342589,MPND;MPND,TSS1500;TSS1500
cg00602726,-0.13,0.001,1.000,1.00,chr16,368727,AXIN1;AXIN1,Body;Body
cg08507393,0.25,0.001,1.000,1.00,chr17,11553929,DNAH9,Body
cg22749736,0.23,0.001,1.000,1.00,chr11,1306759,TOLLIP,Body
cg02164462,-0.16,0.001,1.000,1.00,chr16,57769538,KATNB1,TSS200
cg18591228,-0.26,0.001,1.000,1.00,chr11,3175552,OSBPL5;OSBPL5;OSBPL5,5'UTR;5'UTR;5'UTR
cg09430257,0.18,0.001,1.000,1.00,chr5,138897043,,
cg11830436,0.18,0.001,1.000,1.00,chr10,34943260,PARD3,Body
cg22264436,0.17,0.001,1.000,1.00,chr17,41836423,SOST,TSS1500
cg26571535,0.24,0.001,1.000,1.00,chr1,151607108,SNX27,Body
cg01350077,0.16,0.001,1.000,1.00,chr6,41606317,MDFI;MDFI,5'UTR;1stExon
cg03761569,0.36,0.001,1.000,1.00,chr8,649540,ERICH1,Body
cg16244664,0.21,0.001,1.000,1.00,chr12,130821530,PIWIL1,TSS1500
cg23832497,-0.23,0.001,1.000,1.00,chr6,121655383,C6orf170,Body
cg04743872,0.16,0.001,1.000,1.00,chr2,230135577,PID1;PID1,5'UTR;Body
cg25208863,0.44,0.001,1.000,1.00,chr8,110656982,GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;1stExon;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;1stExon;1stExon;5'UTR;5'UTR;5'UTR;5'UTR
cg26842622,0.28,0.001,1.000,1.00,chr22,31219085,OSBP2,Body
cg15576058,0.14,0.001,1.000,1.00,chr7,92157056,PEX1;C7orf64,Body;TSS1500
cg01274907,0.37,0.001,1.000,1.00,chr5,140568075,PCDHB9,1stExon
cg07629854,0.26,0.001,1.000,1.00,chr12,112280892,C12orf47;MAPKAPK5;MAPKAPK5,TSS200;Body;Body
cg13793584,0.12,0.001,1.000,1.00,chr13,111505761,,
cg01742627,0.14,0.001,1.000,1.00,chr6,28911468,,
cg21386863,-0.22,0.001,1.000,1.00,chr2,150977022,,
cg08510077,-0.28,0.001,1.000,1.00,chr3,113666901,ZDHHC23;ZDHHC23,1stExon;5'UTR
cg13566279,0.21,0.001,1.000,1.00,chr12,14410612,,
cg03267697,0.14,0.001,1.000,1.00,chr2,220362212,GMPPA;GMPPA,TSS1500;TSS1500
cg21956434,0.47,0.001,1.000,1.00,chr19,17377697,C19orf62;C19orf62,TSS1500;TSS1500
cg02493602,-0.40,0.001,1.000,1.00,chr11,86383696,ME3;ME3;ME3,TSS1500;TSS200;TSS1500
cg08158799,-0.13,0.001,1.000,1.00,chr11,1010615,AP2A2,Body
cg17982031,0.20,0.001,1.000,1.00,chr5,140768213,PCDHGB4;PCDHGA4;PCDHGA6;PCDHGA1;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB4;PCDHGB3,1stExon;Body;Body;Body;Body;Body;Body;Body;Body;Body;1stExon;Body
cg07415654,0.16,0.001,1.000,1.00,chr3,15797850,ANKRD28,Body
cg00497472,0.20,0.001,1.000,1.00,chr4,892861,GAK,Body
cg10322744,0.52,0.001,1.000,1.00,chr12,98910138,TMPO;TMPO;TMPO;LOC100128191,Body;Body;Body;TSS200
cg09105334,-0.17,0.001,1.000,1.00,chr17,15683060,,
cg26145223,-0.09,0.001,1.000,1.00,chr11,63993388,NUDT22;TRPT1;TRPT1;NUDT22;TRPT1;NUDT22;TRPT1;TRPT1;TRPT1,TSS1500;5'UTR;5'UTR;TSS1500;5'UTR;TSS1500;5'UTR;5'UTR;TSS200
cg10378538,0.24,0.001,1.000,1.00,chr6,1578324,,
cg06909229,-0.21,0.001,1.000,1.00,chr7,54902026,,
cg09692492,-0.52,0.001,1.000,1.00,chr22,23744717,ZDHHC8P,Body
cg13440193,-0.16,0.001,1.000,1.00,chr2,242611192,ATG4B;ATG4B,Body;Body
cg05854217,0.25,0.001,1.000,1.00,chr2,1595819,,
cg25342699,0.20,0.001,1.000,1.00,chr11,20184128,,
cg12628672,0.29,0.001,1.000,1.00,chr11,5951316,,
cg06242012,0.21,0.001,1.000,1.00,chr16,13873805,,
cg23091699,0.26,0.001,1.000,1.00,chr7,43484898,HECW1,Body
cg09320337,-0.28,0.001,1.000,1.00,chr8,146033038,ZNF517,Body
cg03117951,0.22,0.001,1.000,1.00,chr6,57036288,BAG2,TSS1500
cg14071503,-0.38,0.001,1.000,1.00,chr19,50391752,TBC1D17;TBC1D17,Body;Body
cg06365567,0.17,0.001,1.000,1.00,chr3,49057806,NDUFAF3;DALRD3;MIR425;NDUFAF3;NDUFAF3;NDUFAF3,TSS200;5'UTR;TSS200;TSS1500;TSS1500;TSS1500
cg01060059,-0.67,0.001,1.000,1.00,chr5,41870081,OXCT1,Body
cg19588154,0.11,0.001,1.000,1.00,chr2,60154029,,
cg17701785,-0.16,0.001,1.000,1.00,chr2,30369896,YPEL5;YPEL5;YPEL5;YPEL5;YPEL5;YPEL5;YPEL5;YPEL5,5'UTR;1stExon;1stExon;5'UTR;1stExon;1stExon;5'UTR;5'UTR
cg04399418,0.17,0.001,1.000,1.00,chr12,4380271,,
cg23504092,-0.28,0.001,1.000,1.00,chr20,13201342,ISM1,TSS1500
cg15833657,-0.19,0.001,1.000,1.00,chr7,139207971,CLEC2L,TSS1500
cg17433546,0.12,0.001,1.000,1.00,chr12,107352801,C12orf23,5'UTR
cg04039119,0.31,0.001,1.000,1.00,chr13,113987285,GRTP1,Body
cg23303369,0.26,0.001,1.000,1.00,chr20,44641161,MMP9,Body
cg19216056,0.39,0.001,1.000,1.00,chr4,186877550,SORBS2;SORBS2,5'UTR;1stExon
cg16681977,-0.16,0.001,1.000,1.00,chr1,11332969,UBIAD1,TSS1500
cg17822266,-0.22,0.001,1.000,1.00,chr1,2720087,,
cg21143896,-0.39,0.001,1.000,1.00,chr7,2802374,GNA12,Body
cg08847885,-0.12,0.001,1.000,1.00,chr11,129939859,APLP2;APLP2;APLP2;APLP2;APLP2;APLP2;APLP2;APLP2;APLP2;APLP2,Body;Body;1stExon;5'UTR;5'UTR;5'UTR;1stExon;1stExon;1stExon;5'UTR
cg09861977,0.13,0.001,1.000,1.00,chr4,1562073,,
cg10487127,-0.15,0.001,1.000,1.00,chr6,16761668,ATXN1;ATXN1;ATXN1;ATXN1,5'UTR;5'UTR;1stExon;1stExon
cg08436104,-0.33,0.001,1.000,1.00,chr5,38168076,,
cg04670922,0.93,0.001,1.000,1.00,chr7,157527872,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body
cg21590238,0.18,0.001,1.000,1.00,chr12,121454837,C12orf43,TSS1500
cg22872778,0.19,0.001,1.000,1.00,chr7,48494156,ABCA13,Body
cg18101118,0.23,0.001,1.000,1.00,chr3,45017337,EXOSC7;ZDHHC3;ZDHHC3;EXOSC7;ZDHHC3,TSS1500;5'UTR;5'UTR;TSS1500;5'UTR
cg26546862,-0.27,0.001,1.000,1.00,chr10,70288128,SLC25A16,TSS1500
cg12026529,0.22,0.001,1.000,1.00,chr6,99128672,,
cg24289452,-0.48,0.001,1.000,1.00,chr6,170231220,,
cg04149500,0.13,0.001,1.000,1.00,chr11,110344815,,
cg20264068,0.55,0.001,1.000,1.00,chr1,207842927,CR1L,Body
cg19481287,0.12,0.001,1.000,1.00,chr5,172750923,STC2,Body
cg20126647,-0.17,0.001,1.000,1.00,chr17,40714003,COASY;COASY;COASY;COASY;COASY,TSS200;TSS200;TSS200;TSS200;TSS200
cg12781886,0.15,0.001,1.000,1.00,chr13,80915525,SPRY2,TSS1500
