"Excel Table 4: Differentially methylatied positions (p < 0.05) within the Bangladesh 850K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg12313702,-0.41,0.001,1.00,1.00,chr12,54954849,PDE1B;PDE1B;PDE1B;PDE1B,TSS1500;5'UTR;Body;5'UTR
cg08089543,0.58,0.001,1.00,1.00,chr4,1607111,,
cg01055579,-0.50,0.001,1.00,1.00,chr17,33469488,NLE1;NLE1,TSS200;TSS200
cg21210531,-0.46,0.001,1.00,1.00,chr1,235105604,,
cg09655893,-0.48,0.001,1.00,1.00,chr10,112324648,,
cg23146395,-0.40,0.001,1.00,1.00,chr3,58508763,ACOX2,Body
cg14470047,0.62,0.001,1.00,1.00,chr5,176038104,GPRIN1,TSS1500
cg16306629,1.19,0.001,1.00,1.00,chr8,119128678,,
cg16171227,0.39,0.001,1.00,1.00,chr15,78326426,TBC1D2B;TBC1D2B,Body;Body
cg06154159,-0.48,0.001,1.00,1.00,chr6,29768250,,
cg21653728,0.35,0.001,1.00,1.00,chr5,60458421,SMIM15;CTC-436P18.1,TSS200;Body
cg05351880,-1.37,0.001,1.00,1.00,chr14,54426724,,
cg23961517,-0.62,0.001,1.00,1.00,chr5,40755284,TTC33,5'UTR
cg18672986,0.45,0.001,1.00,1.00,chr19,35521772,SCN1B;SCN1B,Body;Body
cg24201168,-0.53,0.001,1.00,1.00,chr3,16629021,DAZL;DAZL,3'UTR;3'UTR
cg09445675,-0.46,0.001,1.00,1.00,chr19,10255153,DNMT1;DNMT1,Body;Body
cg16621790,-0.45,0.001,1.00,1.00,chr3,50383485,ZMYND10,TSS1500
cg19358016,0.38,0.001,1.00,1.00,chr5,67511389,,
cg01464730,-1.18,0.001,1.00,1.00,chr17,78809873,RPTOR;RPTOR,Body;Body
cg18747561,-0.40,0.001,1.00,1.00,chr7,12624860,SCIN,Body
cg27225457,0.36,0.001,1.00,1.00,chr2,102003739,CREG2,1stExon
cg24987259,-0.39,0.001,1.00,1.00,chr11,66336293,CTSF,TSS1500
cg05449607,-0.54,0.001,1.00,1.00,chr6,111279612,GTF3C6,TSS200
cg07406714,0.43,0.001,1.00,1.00,chr5,6712709,,
cg11629830,-0.41,0.001,1.00,1.00,chr5,75701460,IQGAP2,Body
cg05600654,-0.38,0.001,1.00,1.00,chr10,71169094,TACR2,Body
cg09340198,-0.48,0.001,1.00,1.00,chr3,15902540,ANKRD28,TSS1500
cg08502446,-0.37,0.001,1.00,1.00,chr2,36891478,,
cg18026995,0.83,0.001,1.00,1.00,chr6,74679838,,
cg25344330,-0.33,0.001,1.00,1.00,chr3,45807712,SLC6A20;SLC6A20,Body;Body
cg10390979,-0.40,0.001,1.00,1.00,chr16,11215351,CLEC16A,Body
cg02801685,-0.34,0.001,1.00,1.00,chr5,132103601,SEPT8;SEPT8;SEPT8;SEPT8;SEPT8;SEPT8,Body;Body;Body;Body;Body;5'UTR
cg11197418,-0.56,0.001,1.00,1.00,chr3,67705285,SUCLG2,TSS1500
cg25192768,-0.52,0.001,1.00,1.00,chr7,23935584,,
cg17420694,-0.30,0.001,1.00,1.00,chr7,29918178,WIPF3,Body
cg10882297,-0.27,0.001,1.00,1.00,chr18,21283277,LAMA3;LAMA3;LAMA3;LAMA3,Body;Body;Body;Body
cg08488229,0.42,0.001,1.00,1.00,chr8,37706941,BRF2,Body
cg23814225,-0.47,0.001,1.00,1.00,chr1,37119793,,
cg20760682,0.44,0.001,1.00,1.00,chr2,7520132,,
cg02114922,-0.32,0.001,1.00,1.00,chr9,93959671,,
cg13553341,-0.34,0.001,1.00,1.00,chr2,173729218,RAPGEF4;RAPGEF4;RAPGEF4;RAPGEF4,5'UTR;5'UTR;Body;Body
cg15789211,-0.49,0.001,1.00,1.00,chr17,935235,ABR;ABR;ABR;ABR;ABR,TSS200;Body;Body;Body;Body
cg26721644,-0.63,0.001,1.00,1.00,chr9,78936369,PCSK5,Body
cg14707990,-0.54,0.001,1.00,1.00,chr5,147565942,,
cg16714791,-0.51,0.001,1.00,1.00,chr5,7870206,MTRR;FASTKD3;FASTKD3;FASTKD3;MTRR,5'UTR;TSS1500;TSS1500;TSS1500;Body
cg15892620,-0.45,0.001,1.00,1.00,chr17,935216,ABR;ABR;ABR;ABR;ABR,TSS200;Body;Body;Body;Body
cg01039441,0.50,0.001,1.00,1.00,chr20,18257638,,
cg00615473,0.98,0.001,1.00,1.00,chr21,32930423,TIAM1,5'UTR
cg10407106,0.42,0.001,1.00,1.00,chr7,99779719,STAG3;STAG3;STAG3;STAG3;STAG3;STAG3;STAG3;STAG3,ExonBnd;ExonBnd;ExonBnd;ExonBnd;Body;Body;Body;Body
cg21782247,0.37,0.001,1.00,1.00,chr7,16793477,TSPAN13;TSPAN13,1stExon;5'UTR
cg13017345,-0.41,0.001,1.00,1.00,chr10,111966029,MXI1,TSS1500
cg15491701,-0.55,0.001,1.00,1.00,chr10,131759907,EBF3,Body
cg04460429,-0.40,0.001,1.00,1.00,chr2,100877145,,
cg13266496,0.49,0.001,1.00,1.00,chr6,110720918,DDO;DDO,Body;Body
cg07790533,-0.39,0.001,1.00,1.00,chr9,139428885,NOTCH1,Body
cg16898239,0.50,0.001,1.00,1.00,chr17,74070682,GALR2,TSS1500
cg05139610,-0.43,0.001,1.00,1.00,chr3,63335469,SYNPR,Body
cg21821656,0.31,0.001,1.00,1.00,chr12,72689083,TRHDE,Body
cg16771344,-0.34,0.001,1.00,1.00,chr9,87282797,NTRK2;NTRK2,TSS1500;TSS1500
cg07921698,0.38,0.001,1.00,1.00,chr14,28590784,,
cg27355432,-0.32,0.001,1.00,1.00,chr14,59911195,,
cg20594345,-0.41,0.001,1.00,1.00,chr6,28973520,ZNF311,TSS1500
cg22308949,-0.68,0.001,1.00,1.00,chr2,206628553,NRP2;NRP2;NRP2;NRP2;NRP2,Body;Body;Body;Body;Body
cg00146645,-0.45,0.001,1.00,1.00,chr1,228644750,HIST3H2BB,TSS1500
cg07631144,-0.46,0.001,1.00,1.00,chr17,46657393,MIR10A,TSS200
cg21992932,-0.53,0.001,1.00,1.00,chr2,159651813,DAPL1,TSS200
cg10126788,-0.53,0.001,1.00,1.00,chr2,206628727,NRP2;NRP2;NRP2;NRP2;NRP2,Body;Body;Body;Body;Body
cg27447599,-0.33,0.001,1.00,1.00,chr7,45927940,IGFBP1,TSS200
cg06826341,0.45,0.001,1.00,1.00,chr1,180207363,LHX4,Body
cg20709110,-0.79,0.001,1.00,1.00,chr22,19946873,COMT;COMT;COMT,5'UTR;5'UTR;5'UTR
cg19878482,-0.58,0.001,1.00,1.00,chr8,144655026,C8orf73,TSS200
cg07136602,-0.52,0.001,1.00,1.00,chr6,3844175,,
cg15432414,0.36,0.001,1.00,1.00,chr14,100704369,YY1,TSS1500
cg05395187,-0.46,0.001,1.00,1.00,chr12,124913717,NCOR2;NCOR2,Body;Body
cg12748351,-0.31,0.001,1.00,1.00,chr12,53626669,RARG;RARG;RARG,TSS1500;TSS1500;TSS1500
cg01493517,-0.40,0.002,1.00,1.00,chr12,6665447,IFFO1;IFFO1,TSS1500;TSS1500
cg02238747,-0.42,0.002,1.00,1.00,chr10,99161279,RRP12;RRP12,TSS200;TSS200
cg12410692,-0.53,0.002,1.00,1.00,chr1,209921232,,
cg10243939,-0.35,0.002,1.00,1.00,chr7,96654788,DLX5,TSS1500
cg10928544,-0.33,0.002,1.00,1.00,chr14,91862864,CCDC88C,Body
cg20482280,-0.35,0.002,1.00,1.00,chr14,105936300,MTA1,Body
cg01948390,-0.48,0.002,1.00,1.00,chr11,22850866,SVIP,Body
cg24166889,-0.45,0.002,1.00,1.00,chr15,60835218,RORA-AS1;RORA-AS1;RORA;RORA;RORA;RORA,Body;Body;Body;Body;Body;Body
cg19405905,-0.78,0.002,1.00,1.00,chr5,7870144,MTRR;FASTKD3;FASTKD3;FASTKD3;MTRR,5'UTR;TSS1500;TSS1500;TSS1500;Body
cg22230395,0.45,0.002,1.00,1.00,chr5,153418202,FAM114A2;MFAP3;MFAP3;MFAP3,5'UTR;TSS1500;TSS1500;TSS1500
cg08429502,0.37,0.002,1.00,1.00,chr22,49070415,FAM19A5;FAM19A5,Body;Body
cg01660035,0.43,0.002,1.00,1.00,chr19,7968837,MAP2K7,1stExon
cg13077833,-0.34,0.002,1.00,1.00,chr3,12180203,SYN2;SYN2,Body;Body
cg00891995,-0.55,0.002,1.00,1.00,chr1,153113262,SPRR2C,Body
cg09254210,-0.44,0.002,1.00,1.00,chr14,61873622,PRKCH,Body
cg20784693,-0.59,0.002,1.00,1.00,chr2,239984030,HDAC4,Body
cg22637890,-0.44,0.002,1.00,1.00,chr11,95954652,MAML2,Body
cg03052183,-0.40,0.002,1.00,1.00,chr9,34664762,,
cg24642196,0.63,0.002,1.00,1.00,chr1,161136063,PPOX;PPOX,TSS200;TSS200
cg00358104,-0.35,0.002,1.00,1.00,chr14,59718461,DAAM1,5'UTR
cg27476149,-0.33,0.002,1.00,1.00,chr2,208927011,,
cg21271193,-0.35,0.002,1.00,1.00,chr10,89264148,MINPP1;MINPP1,TSS200;TSS200
cg13973639,-0.36,0.002,1.00,1.00,chr6,42858710,C6orf226,TSS200
cg20530843,-0.35,0.002,1.00,1.00,chr3,9976241,CRELD1;CRELD1;CRELD1,Body;Body;1stExon
cg09361469,-0.54,0.002,1.00,1.00,chr10,5688620,ASB13;ASB13,Body;Body
cg00575186,-0.28,0.002,1.00,1.00,chr6,159434608,,
cg04917226,-0.57,0.002,1.00,1.00,chr7,19157839,TWIST1,TSS1500
cg26309303,0.41,0.002,1.00,1.00,chr7,143599078,FAM115A;FAM115A,1stExon;5'UTR
cg17756421,-0.36,0.002,1.00,1.00,chr3,163669359,,
cg01898337,-0.48,0.002,1.00,1.00,chr12,129192114,TMEM132C,3'UTR
cg14451362,-0.35,0.002,1.00,1.00,chr11,64757863,BATF2;BATF2;BATF2,Body;TSS200;TSS200
cg18409356,-0.55,0.002,1.00,1.00,chr5,39581371,,
cg06025267,0.39,0.002,1.00,1.00,chr3,57742858,SLMAP,TSS1500
cg02616966,1.88,0.002,1.00,1.00,chr3,182817190,MCCC1,1stExon
cg27000368,-0.41,0.002,1.00,1.00,chr6,30122213,TRIM10;TRIM10,Body;Body
cg02772754,-0.32,0.002,1.00,1.00,chr22,20918630,MED15;MED15;MED15;MED15;MED15;MED15,Body;Body;Body;Body;Body;Body
cg17470412,0.56,0.002,1.00,1.00,chr3,66988827,,
cg11556846,0.60,0.002,1.00,1.00,chr2,200468728,,
cg20801456,-0.43,0.002,1.00,1.00,chr1,226099031,,
cg02680112,-0.34,0.002,1.00,1.00,chr2,58798356,LINC01122,Body
cg06551490,-0.54,0.002,1.00,1.00,chr19,54024806,ZNF331;ZNF331,1stExon;5'UTR
cg03070364,-0.37,0.002,1.00,1.00,chr11,195683,ODF3;ODF3,TSS1500;TSS1500
cg14020176,-0.29,0.002,1.00,1.00,chr17,72764985,SLC9A3R1,3'UTR
cg24124620,-0.84,0.002,1.00,1.00,chr8,142505085,FLJ43860,Body
cg19354681,-0.31,0.002,1.00,1.00,chr12,48223130,,
cg10771489,-0.37,0.002,1.00,1.00,chr14,95236834,GSC,TSS1500
cg02902261,-0.32,0.002,1.00,1.00,chr7,72991150,TBL2,Body
cg04088940,-0.72,0.002,1.00,1.00,chr2,206628454,NRP2;NRP2;NRP2;NRP2;NRP2,Body;Body;Body;Body;Body
cg07256869,-0.35,0.002,1.00,1.00,chr10,131687765,EBF3,Body
cg08431529,-0.48,0.002,1.00,1.00,chr12,6619138,SCARNA10;NCAPD2,TSS1500;Body
cg07569984,-0.57,0.002,1.00,1.00,chr14,24759069,,
cg00273198,-0.35,0.002,1.00,1.00,chr9,139069298,,
cg15687977,-0.33,0.002,1.00,1.00,chr19,54830431,,
cg09634469,-0.32,0.002,1.00,1.00,chr22,21128411,SERPIND1;SERPIND1;PI4KA,1stExon;5'UTR;Body
cg08675364,-0.55,0.002,1.00,1.00,chr16,85362963,,
cg16793370,0.45,0.002,1.00,1.00,chr14,105371541,,
cg17509563,-0.33,0.002,1.00,1.00,chr19,53540845,,
cg07830449,-0.33,0.002,1.00,1.00,chr17,62075103,C17orf72,TSS1500
cg14353677,-0.47,0.002,1.00,1.00,chr1,11845030,C1orf167,Body
cg24571428,-0.36,0.002,1.00,1.00,chr11,10482247,AMPD3;AMPD3;AMPD3;AMPD3;AMPD3,5'UTR;TSS1500;5'UTR;Body;Body
cg00594118,0.35,0.002,1.00,1.00,chr9,140150000,COBRA1,1stExon
cg20413441,-0.41,0.002,1.00,1.00,chr17,47588046,NGFR,Body
cg22404646,0.48,0.002,1.00,1.00,chr11,833345,CD151;CD151;CD151;CD151,5'UTR;5'UTR;5'UTR;5'UTR
cg05742721,-0.42,0.002,1.00,1.00,chr11,58350606,ZFP91;ZFP91-CNTF,Body;Body
cg15537850,-0.53,0.002,1.00,1.00,chr8,144661051,NAPRT1,TSS1500
cg00683285,-0.24,0.002,1.00,1.00,chr14,28764188,,
cg02233558,0.39,0.002,1.00,1.00,chr5,127418922,SLC12A2;FLJ33630,TSS1500;TSS200
cg09827745,-0.25,0.002,1.00,1.00,chr17,72898015,,
cg10580293,-0.99,0.002,1.00,1.00,chr7,29605897,PRR15,5'UTR
cg11895696,-0.52,0.002,1.00,1.00,chr7,105283982,ATXN7L1;ATXN7L1,Body;Body
cg15412736,-0.52,0.002,1.00,1.00,chr10,89622073,PTEN;KILLIN,TSS1500;1stExon
cg01744344,0.45,0.002,1.00,1.00,chr11,93517572,MED17;MED17,5'UTR;1stExon
cg16329527,-0.42,0.002,1.00,1.00,chr10,11214618,CELF2;CELF2;CELF2;CELF2,Body;Body;Body;Body
cg18208127,-0.43,0.002,1.00,1.00,chr22,46577036,PPARA;PPARA,5'UTR;5'UTR
cg12014441,0.35,0.002,1.00,1.00,chr7,1609858,KIAA1908;KIAA1908;KIAA1908;PSMG3;PSMG3,Body;Body;Body;TSS1500;TSS200
cg23408207,-0.40,0.002,1.00,1.00,chr17,75868487,,
cg22690720,-0.37,0.002,1.00,1.00,chr11,64808083,SAC3D1,TSS1500
cg01790771,-0.41,0.002,1.00,1.00,chr12,45611089,ANO6;PLEKHA9;ANO6;ANO6,Body;TSS1500;Body;Body
cg26575450,-0.38,0.002,1.00,1.00,chr2,64834280,,
cg18451646,-0.36,0.002,1.00,1.00,chr12,93659679,LOC643339,Body
cg14581523,-0.41,0.002,1.00,1.00,chr21,33394885,,
cg05587067,0.44,0.002,1.00,1.00,chr8,25316810,KCTD9;CDCA2;CDCA2,TSS1500;1stExon;5'UTR
cg26825875,-0.42,0.002,1.00,1.00,chr14,31495700,STRN3;STRN3;AP4S1;AP4S1;AP4S1;AP4S1;AP4S1;AP4S1,TSS200;TSS200;TSS200;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR
cg12302402,0.46,0.002,1.00,1.00,chr11,18230629,LOC494141;LOC494141;LOC494141,TSS200;TSS200;TSS1500
cg26189283,-0.34,0.002,1.00,1.00,chr1,155109378,RAG1AP1;RAG1AP1;RAG1AP1,Body;Body;Body
cg17094249,-0.55,0.002,1.00,1.00,chr1,24867657,,
cg02013841,-0.32,0.002,1.00,1.00,chr13,49159767,,
cg17237657,-0.40,0.002,1.00,1.00,chr10,5657378,,
cg05348875,-0.69,0.002,1.00,1.00,chr2,206628625,NRP2;NRP2;NRP2;NRP2;NRP2,Body;Body;Body;Body;Body
