"Excel Table 8: Differentially variable positions (p < 0.05) within the Bangladesh 850K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg03165176,0.43,2.82E-06,0.042,1.000,chr19,1456886,APC2,Body
cg14940408,0.37,2.91E-06,0.042,1.000,chr18,77500324,CTDP1;CTDP1,Body;Body
cg27603236,0.37,3.53E-06,0.050,1.000,chr13,71815390,,
cg08185500,0.98,3.75E-06,0.052,1.000,chr11,75243720,,
cg14210077,0.33,3.82E-06,0.052,1.000,chr1,3662964,TP73-AS1;TP73-AS1;TP73-AS1;TP73-AS1;TP73-AS1,Body;Body;Body;Body;Body
cg06135282,0.36,3.92E-06,0.053,1.000,chr13,86370102,SLITRK6,Body
cg07001909,0.32,4.19E-06,0.055,1.000,chr14,80328262,NRXN3;NRXN3;NRXN3,Body;Body;Body
cg07175255,0.33,4.21E-06,0.055,1.000,chr10,131218009,,
cg13671249,0.82,4.45E-06,0.057,1.000,chr6,27806141,HIST1H2BN;HIST1H2AK,TSS1500;TSS200
cg19780717,1.34,4.56E-06,0.057,1.000,chr3,134204727,ANAPC13;CEP63;CEP63;CEP63;ANAPC13;CEP63;CEP63;ANAPC13;CEP63,Body;TSS200;1stExon;TSS1500;5'UTR;1stExon;5'UTR;Body;5'UTR
cg03604417,0.42,4.69E-06,0.058,1.000,chr9,135116708,NTNG2,Body
cg22801868,1.18,5.44E-06,0.065,1.000,chr3,182817454,MCCC1;MCCC1;MCCC1;MCCC1,TSS1500;TSS200;TSS200;TSS200
cg21857945,0.30,5.45E-06,0.065,1.000,chr13,29037771,FLT1;FLT1;FLT1;FLT1,Body;Body;Body;Body
cg05634649,0.28,5.78E-06,0.068,1.000,chr4,7056300,TADA2B,Body
cg08934450,0.66,6.01E-06,0.070,1.000,chr6,163776059,,
cg04459481,0.76,6.56E-06,0.075,1.000,chr16,74640951,GLG1;GLG1;GLG1;GLG1;GLG1,Body;1stExon;1stExon;Body;1stExon
cg27069613,0.30,7.01E-06,0.079,1.000,chr9,134189012,,
cg06838521,0.24,7.53E-06,0.081,1.000,chr6,11120536,SMIM13,Body
cg25300694,0.45,7.56E-06,0.081,1.000,chr2,151184358,,
cg01693328,1.39,7.58E-06,0.081,1.000,chr7,108101162,,
cg08714967,0.25,7.73E-06,0.082,1.000,chr3,80582875,,
cg04383383,0.50,8.17E-06,0.085,1.000,chr19,310430,MIER2,Body
cg16901112,0.86,8.26E-06,0.085,1.000,chr1,225616010,LBR;LBR,5'UTR;TSS200
cg19355513,0.38,8.72E-06,0.088,1.000,chr4,83849858,LIN54;LIN54;LIN54;LIN54;LIN54;LIN54;LIN54,Body;Body;Body;Body;Body;Body;Body
cg14617908,0.29,8.80E-06,0.088,1.000,chr4,129730872,PHF17;PHF17;PHF17;PHF17,1stExon;5'UTR;5'UTR;1stExon
cg11860639,0.33,9.66E-06,0.094,1.000,chr1,147248313,,
cg13242889,0.36,9.76E-06,0.094,1.000,chr12,28285983,,
cg22702554,0.53,9.76E-06,0.094,1.000,chr8,123466704,LOC105375734,Body
cg14418922,0.63,1.05E-05,0.094,1.000,chr10,70824840,,
cg07163026,0.29,1.05E-05,0.094,1.000,chr14,99810642,,
cg22399417,0.29,1.06E-05,0.094,1.000,chr6,49496643,,
cg26924109,0.47,1.06E-05,0.094,1.000,chr5,122915359,CSNK1G3;CSNK1G3;CSNK1G3;CSNK1G3;CSNK1G3;CSNK1G3,Body;Body;Body;Body;Body;Body
cg15055401,0.25,1.08E-05,0.094,1.000,chr16,79793169,MAFTRR,Body
cg00670031,0.38,1.08E-05,0.094,1.000,chr14,21980058,METTL3,TSS1500
cg00339008,0.63,1.09E-05,0.094,1.000,chr7,44165485,,
cg17993442,0.46,1.13E-05,0.094,1.000,chr11,130183707,ZBTB44,5'UTR
cg08857354,0.28,1.15E-05,0.094,1.000,chr6,138105369,,
cg22333733,0.52,1.16E-05,0.094,1.000,chr11,31391482,DNAJC24;DCDC1,5'UTR;TSS200
cg11758841,0.30,1.16E-05,0.094,1.000,chr11,12530155,PARVA,Body
cg15333551,0.30,1.16E-05,0.094,1.000,chr3,24647281,,
cg09159795,0.88,1.17E-05,0.094,1.000,chr7,151127123,CRYGN,3'UTR
cg08941837,0.63,1.20E-05,0.094,1.000,chr2,25015896,PTRHD1;CENPO;CENPO,Body;TSS1500;TSS1500
cg07250860,0.32,1.20E-05,0.094,1.000,chr9,128438657,MAPKAP1;MAPKAP1;MAPKAP1;MAPKAP1;MAPKAP1;MAPKAP1,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR
cg16525728,0.28,1.20E-05,0.094,1.000,chr8,19511902,CSGALNACT1;CSGALNACT1,Body;5'UTR
cg09779392,0.26,1.21E-05,0.094,1.000,chr19,11094753,SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4,TSS200;5'UTR;TSS200;5'UTR;TSS200;5'UTR;TSS200
cg12175949,0.56,1.21E-05,0.094,1.000,chr22,19929286,TXNRD2;COMT;COMT,1stExon;1stExon;5'UTR
cg25075015,0.37,1.24E-05,0.094,1.000,chr11,40138552,LRRC4C,5'UTR
cg11344430,0.96,1.24E-05,0.094,1.000,chr1,145575816,PIAS3;NBPF20;NBPF10;NBPF10,TSS200;Body;Body;Body
cg01166932,0.55,1.25E-05,0.094,1.000,chr15,57698073,CGNL1;CGNL1,5'UTR;5'UTR
cg11868634,0.70,1.29E-05,0.094,1.000,chr7,155797461,,
cg21535980,0.34,1.30E-05,0.094,1.000,chr17,1083183,ABR;ABR,TSS200;5'UTR
cg07078622,0.55,1.32E-05,0.094,1.000,chr17,26645920,TMEM97,TSS200
cg23124613,0.28,1.33E-05,0.094,1.000,chr15,89731485,ABHD2;ABHD2,Body;Body
cg14748407,0.25,1.33E-05,0.094,1.000,chr10,98708806,LCOR;LCOR;LCOR,5'UTR;5'UTR;5'UTR
cg12399160,0.29,1.34E-05,0.094,1.000,chr12,51179369,ATF1,Body
cg22796958,0.26,1.34E-05,0.094,1.000,chr3,157221260,VEPH1;VEPH1;VEPH1;VEPH1;VEPH1;VEPH1,TSS200;1stExon;1stExon;5'UTR;TSS200;5'UTR
cg01355708,0.38,1.34E-05,0.094,1.000,chr1,231748491,LINC00582;TSNAX-DISC1;TSNAX-DISC1;TSNAX-DISC1;TSNAX-DISC1;TSNAX-DISC1;TSNAX-DISC1;TSNAX-DISC1;TSNAX-DISC1,TSS1500;Body;Body;Body;Body;Body;Body;Body;Body
cg14192573,0.29,1.36E-05,0.094,1.000,chr2,86281401,POLR1A,Body
cg03822722,0.33,1.38E-05,0.094,1.000,chr5,133861441,JADE2;JADE2;JADE2;JADE2;JADE2,5'UTR;TSS1500;1stExon;5'UTR;Body
cg02808427,0.39,1.43E-05,0.097,1.000,chr7,24935931,OSBPL3,5'UTR
cg15050524,0.52,1.44E-05,0.097,1.000,chr22,45560921,NUP50-AS1;NUP50;NUP50,TSS1500;5'UTR;5'UTR
cg05164396,0.33,1.45E-05,0.097,1.000,chr7,2154026,MAD1L1;MAD1L1;MAD1L1,Body;Body;Body
cg22517485,-1.86,1.47E-05,0.097,1.000,chr1,150294006,PRPF3;PRPF3,5'UTR;1stExon
cg15172724,0.30,1.48E-05,0.097,1.000,chr3,56918536,ARHGEF3;ARHGEF3,Body;Body
cg04943896,0.46,1.50E-05,0.097,1.000,chr6,111585167,KIAA1919;KIAA1919,Body;ExonBnd
cg09828942,0.33,1.50E-05,0.097,1.000,chr16,10125906,GRIN2A;GRIN2A;GRIN2A,Body;Body;Body
cg22627740,0.24,1.52E-05,0.097,1.000,chr6,33418814,SYNGAP1,Body
cg17091363,0.92,1.63E-05,0.101,1.000,chr11,128557010,FLI1,5'UTR
cg09996597,0.94,1.63E-05,0.101,1.000,chr16,1844927,IGFALS;IGFALS;IGFALS,TSS200;TSS1500;TSS1500
cg08251925,0.33,1.63E-05,0.101,1.000,chr7,30032891,,
cg14630985,-0.47,1.65E-05,0.101,1.000,chr9,107689848,ABCA1,5'UTR
cg10094333,0.29,1.67E-05,0.101,1.000,chr4,41288453,,
cg25034968,0.25,1.68E-05,0.101,1.000,chr10,35123431,,
cg10207187,0.57,1.71E-05,0.101,1.000,chr8,94767154,TMEM67;TMEM67;TMEM67,1stExon;5'UTR;Body
cg02553706,0.44,1.74E-05,0.101,1.000,chr1,219596615,,
cg19527532,0.25,1.74E-05,0.101,1.000,chr5,134117407,DDX46;DDX46;DDX46,Body;Body;Body
cg12947035,0.27,1.76E-05,0.101,1.000,chr19,41644902,,
cg21140353,0.76,1.76E-05,0.101,1.000,chr5,179285936,C5orf45;C5orf45,TSS200;TSS200
cg12091542,0.39,1.76E-05,0.101,1.000,chr3,48700425,CELSR3,TSS200
cg21934747,0.70,1.77E-05,0.101,1.000,chr14,51466466,TRIM9;TRIM9,Body;Body
cg07578718,0.28,1.79E-05,0.101,1.000,chr6,26248336,HIST1H4G,TSS1500
cg27445134,0.75,1.81E-05,0.101,1.000,chr18,8788604,MTCL1,Body
cg18163442,0.33,1.81E-05,0.101,1.000,chr1,2779061,,
cg18055585,0.36,1.82E-05,0.101,1.000,chr15,88668892,NTRK3;NTRK3;NTRK3,Body;Body;Body
cg11068356,0.28,1.85E-05,0.102,1.000,chr2,58442864,FANCL;FANCL,Body;Body
cg11634846,0.33,1.85E-05,0.102,1.000,chr15,34992410,,
cg05502081,0.41,1.89E-05,0.103,1.000,chr16,58549679,SETD6;SETD6,Body;Body
cg13378368,0.33,1.94E-05,0.105,1.000,chr1,59680504,,
cg20465899,0.24,1.96E-05,0.105,1.000,chr19,36125031,RBM42,Body
cg00308479,0.23,1.99E-05,0.106,1.000,chr12,120904436,SRSF9,Body
cg13980232,0.27,2.07E-05,0.109,1.000,chr6,40243983,,
cg04743106,0.29,2.08E-05,0.109,1.000,chr4,169577939,PALLD;PALLD;PALLD,5'UTR;Body;Body
cg01653988,0.49,2.10E-05,0.109,1.000,chr19,46195506,QPCTL;QPCTL;SNRPD2;SNRPD2,TSS1500;TSS1500;TSS200;TSS200
cg21722227,0.35,2.11E-05,0.109,1.000,chr21,15764374,,
cg16840742,0.35,2.12E-05,0.109,1.000,chr7,22983563,FAM126A,3'UTR
cg26927939,0.25,2.12E-05,0.109,1.000,chr4,170679646,C4orf27,TSS1500
cg14040696,0.44,2.21E-05,0.112,1.000,chr7,117412043,CTTNBP2,Body
cg13727338,0.31,2.22E-05,0.112,1.000,chr7,127022811,ZNF800,Body
cg21598294,0.35,2.28E-05,0.114,1.000,chr2,25493126,DNMT3A;DNMT3A,Body;Body
cg19856484,0.80,2.44E-05,0.122,1.000,chr1,52870200,PRPF38A;ORC1;ORC1;ORC1,TSS200;TSS200;TSS200;TSS200
cg02142382,0.29,2.50E-05,0.122,1.000,chr6,157238149,ARID1B;ARID1B,Body;Body
cg11196333,0.28,2.50E-05,0.122,1.000,chr1,203154370,CHI3L1,Body
cg04982308,0.40,2.51E-05,0.122,1.000,chr17,72353473,BTBD17,Body
cg06626297,-0.19,2.56E-05,0.124,1.000,chr8,26124873,,
cg26287146,0.30,2.59E-05,0.125,1.000,chr5,126307879,MARCH3,5'UTR
cg01071314,0.37,2.63E-05,0.125,1.000,chr1,3277623,PRDM16;PRDM16,Body;Body
cg08019078,0.37,2.64E-05,0.125,1.000,chr6,138104026,,
cg19959061,0.39,2.72E-05,0.128,1.000,chr13,51320134,DLEU7,Body
cg01342696,0.26,2.73E-05,0.128,1.000,chr14,68737764,RAD51B;RAD51B;RAD51B,Body;Body;Body
cg17904852,0.27,2.80E-05,0.129,1.000,chr3,48700269,CELSR3;CELSR3,5'UTR;1stExon
cg13924111,0.32,2.80E-05,0.129,1.000,chr20,62447904,ZBTB46-AS1,Body
cg15378844,1.09,2.81E-05,0.129,1.000,chr22,40035073,CACNA1I;CACNA1I,Body;Body
cg27520807,0.75,2.81E-05,0.129,1.000,chr6,100564257,,
cg07173100,0.34,2.91E-05,0.132,1.000,chr2,3606140,RNASEH1,TSS1500
cg16865418,0.30,2.95E-05,0.132,1.000,chr4,1534591,,
cg03308241,0.25,2.99E-05,0.132,1.000,chr2,106432915,NCK2;NCK2,5'UTR;5'UTR
cg03318940,0.91,3.02E-05,0.132,1.000,chr3,182817448,MCCC1,TSS200
cg26031046,0.30,3.02E-05,0.132,1.000,chr12,56754826,STAT2;APOF,TSS1500;3'UTR
cg03491025,0.70,3.02E-05,0.132,1.000,chr5,370479,AHRR;AHRR,Body;Body
cg15146966,-0.36,3.04E-05,0.132,1.000,chr22,29196915,XBP1;XBP1,TSS1500;TSS1500
cg22251465,0.35,3.06E-05,0.132,1.000,chr2,44588965,PREPL;PREPL;C2orf34;PREPL;PREPL;PREPL;PREPL;PREPL,TSS1500;1stExon;TSS200;5'UTR;5'UTR;1stExon;TSS1500;TSS1500
cg02413594,0.60,3.06E-05,0.132,1.000,chr5,42950785,,
cg16875762,0.29,3.06E-05,0.132,1.000,chr9,131881629,PPP2R4;PPP2R4;PPP2R4;PPP2R4;PPP2R4;PPP2R4,Body;Body;Body;Body;Body;5'UTR
cg03576697,0.27,3.09E-05,0.132,1.000,chr8,110359357,,
cg04720309,0.27,3.11E-05,0.133,1.000,chr7,2591666,BRAT1,Body
cg08086045,0.33,3.22E-05,0.135,1.000,chr16,4445736,CORO7-PAM16;CORO7;CORO7;CORO7,Body;Body;Body;Body
cg12068105,0.28,3.23E-05,0.135,1.000,chr8,29475073,,
cg13403981,0.29,3.27E-05,0.135,1.000,chr11,76903646,MYO7A;MYO7A,Body;Body
cg12395025,0.50,3.27E-05,0.135,1.000,chr18,52679383,,
cg15323253,0.64,3.27E-05,0.135,1.000,chr6,3766662,,
cg03306780,0.34,3.28E-05,0.135,1.000,chr8,20798259,,
cg09741935,0.34,3.29E-05,0.135,1.000,chr8,128149826,,
cg08328431,0.23,3.37E-05,0.137,1.000,chr2,30906575,,
cg05699834,0.29,3.39E-05,0.137,1.000,chr8,124865871,FER1L6,5'UTR
cg19168192,1.19,3.43E-05,0.138,1.000,chr6,28493664,GPX5;GPX5,TSS200;TSS200
cg25191611,-0.32,3.44E-05,0.138,1.000,chr7,154667715,DPP6;DPP6;DPP6,Body;Body;Body
cg20377762,0.28,3.45E-05,0.138,1.000,chr1,55447028,TMEM61,Body
cg10329228,0.30,3.49E-05,0.138,1.000,chr2,174755927,,
cg18323095,0.32,3.51E-05,0.138,1.000,chr15,62515771,,
cg15878300,0.35,3.51E-05,0.138,1.000,chr17,73008137,ICT1;ICT1,TSS1500;TSS1500
cg23020028,0.44,3.64E-05,0.142,1.000,chr15,78473439,ACSBG1;ACSBG1,Body;Body
cg10086936,0.39,3.66E-05,0.142,1.000,chr10,74269421,MICU1;MICU1;MICU1,Body;Body;Body
cg15484408,0.31,3.78E-05,0.145,1.000,chr3,16108476,,
cg10442427,0.29,3.78E-05,0.145,1.000,chr6,151639730,AKAP12,Body
cg07395436,0.32,3.79E-05,0.145,1.000,chr1,219383604,LYPLAL1,Body
cg12039197,0.30,3.83E-05,0.145,1.000,chr2,74120092,ACTG2;ACTG2,1stExon;5'UTR
cg00122781,0.25,3.83E-05,0.145,1.000,chr2,231655422,CAB39;CAB39;CAB39,Body;Body;Body
cg10363569,0.78,3.84E-05,0.145,1.000,chr7,151572762,PRKAG2,Body
cg13938120,0.51,4.05E-05,0.152,1.000,chr2,199179517,LOC101927619,Body
cg04979599,0.27,4.08E-05,0.152,1.000,chr5,148650899,AFAP1L1;AFAP1L1,TSS1500;TSS1500
cg20109054,1.03,4.13E-05,0.153,1.000,chr6,31804109,C6orf48;C6orf48;SNORD52,5'UTR;5'UTR;TSS1500
cg18269457,0.32,4.17E-05,0.153,1.000,chr1,98383686,DPYD;DPYD,Body;Body
cg23720516,0.28,4.21E-05,0.153,1.000,chr10,118082855,CCDC172,TSS1500
cg16801267,0.34,4.23E-05,0.153,1.000,chr11,47270308,ACP2;NR1H3;ACP2,1stExon;TSS200;1stExon
cg09062038,0.26,4.23E-05,0.153,1.000,chr10,22825269,PIP4K2A,3'UTR
cg00625132,0.42,4.24E-05,0.153,1.000,chr12,26868704,ITPR2,Body
cg18027157,0.31,4.36E-05,0.157,1.000,chr12,102853177,IGF1;IGF1;IGF1;IGF1,Body;Body;Body;Body
cg22960133,0.28,4.41E-05,0.158,1.000,chr10,3457118,,
cg14461400,0.58,4.43E-05,0.158,1.000,chr4,129112641,LARP1B,Body
cg12219469,0.40,4.47E-05,0.158,1.000,chr10,5936426,FBXO18;FBXO18;FBXO18,1stExon;Body;5'UTR
cg06546722,0.29,4.48E-05,0.158,1.000,chr2,64069010,UGP2;UGP2,TSS200;5'UTR
cg04293770,0.26,4.52E-05,0.158,1.000,chr5,148330536,,
cg13952838,0.31,4.59E-05,0.158,1.000,chr10,133960453,JAKMIP3,Body
cg25949769,0.28,4.61E-05,0.158,1.000,chr11,69577174,,
cg00066111,0.68,4.61E-05,0.158,1.000,chr18,52258304,DYNAP;DYNAP,TSS200;Body
cg11309067,0.33,4.61E-05,0.158,1.000,chr1,233323887,PCNXL2,Body
cg26845363,0.30,4.62E-05,0.158,1.000,chr1,53098421,FAM159A,TSS1500
cg20392240,1.22,4.64E-05,0.158,1.000,chr8,104383724,CTHRC1,TSS200
cg17183362,0.87,4.65E-05,0.158,1.000,chr6,31804159,C6orf48;C6orf48;SNORD52,5'UTR;5'UTR;TSS1500
cg25441771,0.62,4.72E-05,0.159,1.000,chr3,182816738,MCCC1,Body
cg09371059,0.57,4.72E-05,0.159,1.000,chr16,17842081,,
cg00280728,0.26,4.73E-05,0.159,1.000,chr6,146094241,LOC100507557,Body
cg07268919,0.61,4.76E-05,0.159,1.000,chr1,184355974,C1orf21,TSS200
cg23268677,0.47,4.81E-05,0.160,1.000,chr22,19929097,TXNRD2;COMT,Body;TSS200
cg22068082,0.31,4.88E-05,0.161,1.000,chr9,131535499,ZER1,TSS1500
cg24323275,0.26,4.93E-05,0.162,1.000,chr3,111694896,PHLDB2;PHLDB2;PHLDB2;PHLDB2,3'UTR;3'UTR;3'UTR;3'UTR
cg23154803,0.34,5.08E-05,0.167,1.000,chr3,101618485,,
cg24215635,0.27,5.10E-05,0.167,1.000,chr13,30074671,MTUS2;MTUS2,Body;Body
cg12449814,0.31,5.13E-05,0.167,1.000,chr15,91590870,,
cg00906360,0.83,5.16E-05,0.167,1.000,chr12,983561,WNK1;WNK1;WNK1;WNK1,Body;Body;Body;Body
cg16586104,0.39,5.20E-05,0.167,1.000,chr1,95873524,,
cg10290679,0.30,5.21E-05,0.167,1.000,chr11,128457400,ETS1;ETS1,1stExon;5'UTR
cg11366748,0.30,5.23E-05,0.167,1.000,chr3,9445388,SETD5,5'UTR
cg02999013,0.37,5.26E-05,0.167,1.000,chr19,36195455,,
cg16771474,0.27,5.34E-05,0.168,1.000,chr7,7776115,,
cg11286163,0.46,5.37E-05,0.168,1.000,chr1,109969161,PSMA5,TSS200
cg06941156,0.96,5.37E-05,0.168,1.000,chr14,89796856,FOXN3;FOXN3,Body;Body
cg21016392,0.39,5.38E-05,0.168,1.000,chr7,111209117,,
cg00559300,0.24,5.41E-05,0.168,1.000,chr3,182622303,ATP11B,Body
cg11994375,0.26,5.48E-05,0.170,1.000,chr16,8956207,CARHSP1;CARHSP1;CARHSP1;CARHSP1;CARHSP1;CARHSP1;CARHSP1;CARHSP1;CARHSP1,5'UTR;TSS1500;TSS1500;TSS1500;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR
cg21798304,0.43,5.56E-05,0.171,1.000,chr2,33701141,RASGRP3;RASGRP3,TSS200;5'UTR
cg22801942,0.36,5.57E-05,0.171,1.000,chr2,227417552,,
cg20975334,0.25,5.64E-05,0.172,1.000,chr2,127065337,,
cg25880916,0.25,5.64E-05,0.172,1.000,chr1,199515019,,
cg00018828,0.29,5.68E-05,0.172,1.000,chr16,1245911,CACNA1H;CACNA1H,Body;Body
cg01613105,0.25,5.75E-05,0.172,1.000,chr12,111179831,PPP1CC,Body
cg08266092,0.25,5.80E-05,0.172,1.000,chr19,58949477,ZNF132,Body
cg15862452,0.35,5.80E-05,0.172,1.000,chr14,23235611,OXA1L,TSS200
cg20039571,0.28,5.82E-05,0.172,1.000,chr19,30307469,CCNE1;CCNE1,Body;Body
cg06820592,0.24,5.82E-05,0.172,1.000,chr17,32975166,,
cg18415626,0.25,5.84E-05,0.172,1.000,chr4,95174425,SMARCAD1;SMARCAD1;SMARCAD1;SMARCAD1;SMARCAD1,TSS200;Body;Body;Body;Body
cg02585563,0.33,5.85E-05,0.172,1.000,chr20,62599105,ZNF512B,Body
cg20060666,0.35,5.86E-05,0.172,1.000,chr17,66526694,PRKAR1A;PRKAR1A;PRKAR1A,3'UTR;3'UTR;3'UTR
cg26095502,0.26,5.91E-05,0.172,1.000,chr5,72182801,TNPO1;TNPO1,Body;Body
cg26671685,0.23,5.93E-05,0.172,1.000,chr17,37681943,CDK12;CDK12,Body;Body
cg16355534,0.36,5.95E-05,0.172,1.000,chr1,215041899,,
cg00224512,0.26,5.99E-05,0.172,1.000,chr8,33867555,,
cg07293188,0.31,6.01E-05,0.172,1.000,chr3,38209834,OXSR1,Body
cg18099488,0.33,6.01E-05,0.172,1.000,chr5,134214426,TXNDC15,Body
cg20967220,0.32,6.02E-05,0.172,1.000,chr6,53013647,GCM1,TSS200
cg24376891,0.26,6.02E-05,0.172,1.000,chr21,45760359,C21orf2,TSS1500
cg25762706,0.27,6.13E-05,0.174,1.000,chr8,27115867,STMN4;STMN4,1stExon;5'UTR
cg12417689,0.20,6.18E-05,0.174,1.000,chr17,259426,C17orf97,TSS1500
cg19687473,0.26,6.22E-05,0.174,1.000,chr7,141253850,AGK,5'UTR
cg00323535,0.68,6.27E-05,0.174,1.000,chr9,139305148,PMPCA;PMPCA;PMPCA;PMPCA;PMPCA;SDCCAG3;SDCCAG3;SDCCAG3,1stExon;1stExon;1stExon;5'UTR;5'UTR;TSS200;TSS200;TSS200
cg04297908,0.24,6.28E-05,0.174,1.000,chr13,50356121,KPNA3,Body
cg08810871,0.34,6.30E-05,0.174,1.000,chr18,67541709,CD226;CD226;CD226,Body;Body;Body
